event_id,customer_id,transaction_id,event_timestamp,anomaly_score,behavioral_flags,session_duration_seconds,hesitation_indicators,typing_pattern_anomaly,copy_paste_detected,new_payee_flag,authentication_failures
BEH-00001034,AU-CUST00823,TXN-2024-001043,2025-09-09T21:14:59,0.021,NORMAL,927,0,0.018,False,False,0
BEH-00007423,AU-CUST00274,TXN-2024-007423,2025-08-09T17:31:15,0.753,NORMAL,525,0,0.287,False,False,1
BEH-00001840,AU-CUST00135,TXN-2024-001852,2025-09-22T20:20:50,0.153,NORMAL,1365,4,0.04,False,False,2
BEH-00001383,AU-CUST00166,TXN-2024-001377,2025-05-31T20:05:10,0.023,NORMAL,244,3,0.107,False,False,3
BEH-00008677,AU-CUST00164,TXN-2024-008675,2025-01-09T19:30:20,0.096,NORMAL,386,1,0.162,False,False,2
BEH-00000524,AU-CUST00523,TXN-2024-000521,2025-06-27T08:00:27,0.961,NORMAL,1484,4,0.287,False,False,3
BEH-00005789,AU-CUST00234,TXN-2024-005785,2025-01-26T13:06:17,0.255,NORMAL,1524,3,0.054,False,False,3
BEH-00001688,AU-CUST00019,TXN-2024-001689,2024-11-29T17:27:00,0.012,NORMAL,677,0,0.059,False,False,0
BEH-00009703,AU-CUST00780,TXN-2024-009713,2024-06-13T11:29:28,0.129,NORMAL,1182,0,0.045,False,False,0
BEH-00006876,AU-CUST00174,TXN-2024-006892,2025-08-04T13:31:38,0.394,NORMAL,1511,4,0.442,False,False,2
BEH-00003094,AU-CUST00229,TXN-2024-003076,2024-10-05T22:24:35,0.356,NORMAL,957,2,0.091,False,False,1
BEH-00002745,AU-CUST00345,TXN-2024-002724,2025-01-08T23:59:40,0.072,NORMAL,367,4,0.382,False,False,3
BEH-00000785,AU-CUST00890,TXN-2024-000792,2024-06-17T10:54:44,0.117,NORMAL,652,4,0.351,False,False,3
BEH-00000931,AU-CUST00905,TXN-2024-000927,2024-10-19T22:25:25,0.623,NORMAL,1171,4,0.449,False,False,3
BEH-00007750,AU-CUST00496,TXN-2024-007778,2025-08-18T03:30:09,0.323,ACTIVE_CALL|HESITATION|URGENCY|TIME_PRESSURE,282,4,0.476,False,False,3
BEH-00001394,AU-CUST00191,TXN-2024-001399,2025-03-04T19:35:49,0.039,NORMAL,213,0,0.083,False,False,0
BEH-00000968,AU-CUST00129,TXN-2024-000972,2025-06-05T06:27:28,0.183,NORMAL,1136,3,0.076,False,False,3
BEH-00007365,AU-CUST00800,TXN-2024-007366,2025-05-06T08:42:43,0.114,NORMAL,420,4,0.216,False,False,3
BEH-00000371,AU-CUST00314,TXN-2024-000368,2025-07-26T09:54:46,0.094,NORMAL,785,2,0.086,False,False,1
BEH-00007786,AU-CUST00021,TXN-2024-007797,2024-10-03T01:03:51,0.412,NORMAL,751,4,0.168,False,False,3
BEH-00005932,AU-CUST00492,TXN-2024-005968,2025-09-28T19:13:23,0.18,NORMAL,1461,4,0.371,False,False,2
BEH-00010518,AU-CUST00712,TXN-2024-010510,2025-04-14T19:12:02,0.424,NORMAL,1523,3,0.186,False,False,3
BEH-00009743,AU-CUST00147,TXN-2024-009738,2025-04-03T23:15:29,0.05,NORMAL,328,4,0.361,False,False,3
BEH-00006793,AU-CUST00612,TXN-2024-006771,2024-07-05T16:17:23,0.446,NORMAL,611,4,0.047,False,False,3
BEH-00004785,AU-CUST00757,TXN-2024-004775,2024-05-12T04:10:08,0.077,NORMAL,192,4,0.028,False,False,3
BEH-00002018,AU-CUST00305,TXN-2024-002015,2024-11-19T07:23:35,0.315,NORMAL,1695,4,0.688,False,False,3
BEH-00011056,AU-CUST00386,TXN-2024-011050,2025-03-18T21:58:31,0.32,NORMAL,741,0,0.088,False,False,1
BEH-00001624,AU-CUST00934,TXN-2024-001618,2025-01-17T07:56:25,0.202,NORMAL,907,0,0.025,False,False,1
BEH-00005392,AU-CUST00893,TXN-2024-005392,2024-12-15T22:32:47,1.0,NORMAL,1484,4,0.147,False,False,3
BEH-00009451,AU-CUST00479,TXN-2024-009467,2025-04-05T02:39:45,0.246,NORMAL,657,4,0.069,False,False,2
BEH-00000581,AU-CUST00078,TXN-2024-000575,2024-12-09T02:22:21,0.016,NORMAL,160,0,0.044,False,False,0
BEH-00011266,AU-CUST00358,TXN-2024-011263,2025-03-17T12:03:26,0.116,NORMAL,1579,0,0.065,False,False,0
BEH-00001735,AU-CUST00897,TXN-2024-001742,2025-02-13T14:54:36,0.062,NORMAL,847,1,0.097,False,False,3
BEH-00007249,AU-CUST00199,TXN-2024-007263,2025-03-03T02:02:51,0.005,NORMAL,1051,2,0.087,False,False,2
BEH-00006236,AU-CUST00537,TXN-2024-006232,2024-12-21T13:02:43,0.525,NORMAL,148,4,0.337,False,False,3
BEH-00001669,AU-CUST00413,TXN-2024-001657,2024-09-12T06:56:16,0.021,NORMAL,928,1,0.075,False,False,0
BEH-00001008,AU-CUST00198,TXN-2024-001000,2025-08-04T12:46:51,0.056,NORMAL,1571,0,0.036,False,False,0
BEH-00008483,AU-CUST00635,TXN-2024-008474,2025-07-22T22:16:10,0.024,NORMAL,365,4,0.203,False,False,3
BEH-00010473,AU-CUST00395,TXN-2024-010487,2024-11-04T06:05:03,0.197,NORMAL,911,2,0.097,False,False,2
BEH-00003646,AU-CUST00270,TXN-2024-003630,2024-07-23T20:16:10,0.143,NORMAL,1283,2,0.539,False,False,0
BEH-00009857,AU-CUST00994,TXN-2024-009862,2024-12-25T19:41:12,0.331,NORMAL,314,4,0.052,False,False,3
BEH-00003124,AU-CUST00759,TXN-2024-003141,2025-08-23T05:58:01,0.183,NORMAL,218,4,0.151,False,False,2
BEH-00000687,AU-CUST00834,TXN-2024-000684,2025-09-25T20:17:53,0.621,NORMAL,239,4,0.227,False,False,3
BEH-00006997,AU-CUST00821,TXN-2024-007007,2025-08-19T13:19:24,0.476,NORMAL,543,4,0.11,False,False,3
BEH-00007888,AU-CUST00775,TXN-2024-007905,2025-03-05T02:59:33,0.005,NORMAL,1024,3,0.304,False,False,1
BEH-00007531,AU-CUST00841,TXN-2024-007539,2025-01-20T13:10:17,0.311,NORMAL,1313,4,0.166,False,False,3
BEH-00008684,AU-CUST00524,TXN-2024-008686,2025-04-26T02:29:39,0.368,NORMAL,1610,4,0.288,False,False,3
BEH-00010034,AU-CUST00367,TXN-2024-010034,2025-06-19T02:02:22,0.101,NORMAL,1556,0,0.047,False,False,0
BEH-00011291,AU-CUST00775,TXN-2024-011297,2024-10-16T08:42:45,0.415,NORMAL,1155,4,0.088,False,False,3
BEH-00005586,AU-CUST00592,TXN-2024-005564,2025-06-26T20:05:25,0.233,NORMAL,410,4,0.257,False,False,3
BEH-00001496,AU-CUST00956,TXN-2024-001491,2025-09-15T00:01:10,0.109,NORMAL,997,0,0.162,False,False,0
BEH-00003957,AU-CUST00485,TXN-2024-003964,2024-10-29T11:58:16,0.027,NORMAL,1066,0,0.086,False,False,2
BEH-00002689,AU-CUST00560,TXN-2024-002686,2025-01-11T20:46:38,0.158,NORMAL,429,3,0.071,False,False,0
BEH-00008038,AU-CUST00977,TXN-2024-008036,2025-09-22T13:44:06,0.212,NORMAL,864,0,0.027,False,False,0
BEH-00006707,AU-CUST00788,TXN-2024-006707,2025-07-05T04:03:49,0.159,NORMAL,454,4,0.133,False,False,3
BEH-00005136,AU-CUST00619,TXN-2024-005116,2025-08-01T03:57:11,0.704,NORMAL,1590,4,0.113,False,False,3
BEH-00005354,AU-CUST00163,TXN-2024-005376,2025-02-07T00:52:51,0.059,NORMAL,1314,4,0.179,False,False,1
BEH-00010247,AU-CUST00431,TXN-2024-010246,2025-05-26T11:50:12,0.132,NORMAL,187,0,0.005,False,False,0
BEH-00005276,AU-CUST00080,TXN-2024-005267,2025-01-07T19:21:02,0.071,NORMAL,984,4,0.024,False,False,2
BEH-00003310,AU-CUST00366,TXN-2024-003339,2025-04-25T00:10:11,0.083,NORMAL,798,4,0.158,False,False,2
BEH-00003819,AU-CUST00051,TXN-2024-003815,2025-01-14T15:54:13,0.09,NORMAL,1201,2,0.114,False,False,2
BEH-00006080,AU-CUST00230,TXN-2024-006106,2025-01-30T02:14:19,0.099,NORMAL,324,4,0.163,False,False,3
BEH-00006287,AU-CUST00713,TXN-2024-006262,2025-06-21T06:28:52,0.096,NORMAL,1477,4,0.152,False,False,3
BEH-00004411,AU-CUST00339,TXN-2024-004412,2024-04-30T13:39:57,0.318,RAPID_MOVEMENT|ROUND_AMOUNTS|MULTIPLE_RECIPIENTS,1193,1,0.175,False,False,1
BEH-00001902,AU-CUST00154,TXN-2024-001902,2024-08-19T13:42:17,0.446,NORMAL,1192,3,0.158,False,False,0
BEH-00001982,AU-CUST00489,TXN-2024-001972,2024-12-04T01:08:51,0.661,NORMAL,1584,3,0.124,False,False,3
BEH-00007170,AU-CUST00111,TXN-2024-007199,2025-02-07T02:50:21,0.039,ACTIVE_CALL|HESITATION|URGENCY|TIME_PRESSURE,576,4,0.136,False,False,3
BEH-00010920,AU-CUST00448,TXN-2024-010925,2025-05-31T23:23:46,0.108,NORMAL,607,0,0.039,False,False,1
BEH-00007707,AU-CUST00701,TXN-2024-007711,2025-07-25T23:39:42,0.234,NORMAL,1544,1,0.075,False,False,2
BEH-00000500,AU-CUST00259,TXN-2024-000497,2025-05-17T13:15:46,0.018,NORMAL,354,1,0.079,False,False,3
BEH-00009039,AU-CUST00094,TXN-2024-009041,2025-08-19T11:36:57,0.069,NORMAL,1435,4,0.071,False,False,1
BEH-00006414,AU-CUST00874,TXN-2024-006424,2025-02-15T01:27:35,0.135,NORMAL,663,4,0.276,False,False,3
BEH-00005684,AU-CUST00931,TXN-2024-005662,2025-09-16T01:04:52,0.212,NORMAL,685,3,0.121,False,False,3
BEH-00011057,AU-CUST00101,TXN-2024-011064,2024-03-21T20:25:46,0.236,NORMAL,1115,4,0.051,False,False,3
BEH-00008354,AU-CUST00584,TXN-2024-008363,2025-05-07T14:00:55,0.184,NORMAL,684,4,0.32,False,False,3
BEH-00000990,AU-CUST00656,TXN-2024-000986,2025-08-16T13:19:50,0.139,NORMAL,1108,3,0.185,False,False,3
BEH-00002362,AU-CUST00234,TXN-2024-002360,2024-11-09T12:55:21,0.423,NORMAL,661,3,0.055,False,False,3
BEH-00000422,AU-CUST00577,TXN-2024-000415,2025-02-25T16:25:04,0.109,NEW_PAYEE|LARGE_AMOUNT|REPEAT_PATTERN,558,4,0.026,False,False,1
BEH-00000093,AU-CUST00778,TXN-2024-000094,2025-01-14T08:29:16,0.079,NORMAL,980,1,0.218,False,False,3
BEH-00000883,AU-CUST00405,TXN-2024-000874,2025-03-04T02:49:48,0.7,NORMAL,1602,4,0.215,False,False,3
BEH-00004198,AU-CUST00271,TXN-2024-004182,2025-01-11T04:24:11,0.295,NORMAL,905,0,0.107,False,False,2
BEH-00009812,AU-CUST00024,TXN-2024-009837,2025-06-11T10:14:22,0.053,NORMAL,1495,1,0.029,False,False,0
BEH-00004922,AU-CUST00822,TXN-2024-004926,2024-12-04T03:09:17,0.255,NORMAL,132,0,0.074,False,False,3
BEH-00010988,AU-CUST00724,TXN-2024-010988,2025-08-24T18:36:44,0.004,NORMAL,888,3,0.064,False,False,1
BEH-00002692,AU-CUST00538,TXN-2024-002671,2024-11-15T12:23:06,0.159,NORMAL,1397,4,0.166,False,False,1
BEH-00002816,AU-CUST00448,TXN-2024-002807,2024-12-21T13:03:34,0.75,EMOTIONAL_PRESSURE|REPEAT_VICTIM|GRADUAL_INCREASE,635,4,0.105,False,False,3
BEH-00000836,AU-CUST00312,TXN-2024-000842,2025-04-20T17:56:11,0.388,NORMAL,859,3,0.638,False,False,3
BEH-00006793,AU-CUST00485,TXN-2024-006777,2025-04-25T20:42:27,0.354,NORMAL,739,2,0.038,False,False,0
BEH-00003251,AU-CUST00571,TXN-2024-003232,2025-08-03T17:04:39,0.805,NORMAL,228,4,0.165,False,False,2
BEH-00001232,AU-CUST00503,TXN-2024-001219,2025-06-14T05:56:47,0.32,NORMAL,1000,1,0.074,False,False,2
BEH-00000994,AU-CUST00259,TXN-2024-000999,2025-04-14T16:51:23,0.341,NORMAL,649,4,0.315,False,False,3
BEH-00007726,AU-CUST00541,TXN-2024-007726,2025-06-12T18:29:30,0.294,NORMAL,493,4,0.263,False,False,3
BEH-00002132,AU-CUST00078,TXN-2024-002111,2025-07-19T12:51:49,0.224,NORMAL,1611,3,0.154,False,False,2
BEH-00000466,AU-CUST00287,TXN-2024-000467,2024-09-11T14:25:49,0.201,NORMAL,1376,1,0.077,False,False,3
BEH-00009495,AU-CUST00753,TXN-2024-009498,2024-09-20T18:46:39,0.292,NORMAL,1184,4,0.068,False,False,3
BEH-00003215,AU-CUST00852,TXN-2024-003221,2025-05-25T18:14:03,0.271,NORMAL,283,4,0.491,False,False,3
BEH-00004127,AU-CUST00468,TXN-2024-004153,2025-09-16T18:01:08,0.096,NORMAL,1226,1,0.294,False,False,1
BEH-00001468,AU-CUST00341,TXN-2024-001465,2025-09-01T14:48:05,0.176,NORMAL,1371,4,0.358,False,False,3
BEH-00007419,AU-CUST00306,TXN-2024-007434,2024-10-28T10:24:38,0.443,NORMAL,202,1,0.223,False,False,2
BEH-00008661,AU-CUST00991,TXN-2024-008664,2024-12-22T17:59:08,0.103,NORMAL,1011,3,0.097,False,False,3
BEH-00003698,AU-CUST00354,TXN-2024-003697,2024-09-08T19:51:31,0.258,NORMAL,800,3,0.287,False,False,1
BEH-00001347,AU-CUST00703,TXN-2024-001342,2025-04-13T04:51:56,0.016,NORMAL,342,0,0.089,False,True,1
BEH-00007953,AU-CUST00994,TXN-2024-007957,2025-05-22T22:58:07,0.134,NORMAL,1792,2,0.204,False,False,1
BEH-00002692,AU-CUST00536,TXN-2024-002696,2025-06-18T22:53:26,0.268,NORMAL,767,4,0.186,False,False,3
BEH-00011524,AU-CUST00718,TXN-2024-011526,2025-09-22T18:00:28,0.114,NORMAL,1749,1,0.017,False,False,1
BEH-00003222,AU-CUST00233,TXN-2024-003228,2025-08-14T11:22:26,0.395,NORMAL,853,4,0.165,False,False,3
BEH-00009538,AU-CUST00202,TXN-2024-009526,2025-05-10T11:34:16,0.133,NORMAL,1410,3,0.041,False,False,2
BEH-00000556,AU-CUST00801,TXN-2024-000554,2025-06-30T14:28:10,0.156,NORMAL,838,2,0.015,False,False,1
BEH-00000593,AU-CUST00079,TXN-2024-000587,2025-06-30T22:56:19,0.171,NORMAL,620,4,0.208,False,False,3
BEH-00011841,AU-CUST00812,TXN-2024-011843,2024-11-19T18:54:32,0.382,NORMAL,1192,4,0.117,False,False,3
BEH-00005295,AU-CUST00555,TXN-2024-005304,2024-10-04T02:08:39,0.222,NORMAL,1408,3,0.1,False,False,3
BEH-00002498,AU-CUST00237,TXN-2024-002501,2024-08-07T08:44:22,0.249,NORMAL,208,4,0.29,False,False,3
BEH-00004609,AU-CUST00994,TXN-2024-004578,2025-04-16T17:35:39,0.527,NORMAL,766,2,0.261,False,False,1
BEH-00006169,AU-CUST00377,TXN-2024-006163,2025-03-18T10:35:41,0.009,EMOTIONAL_PRESSURE|REPEAT_VICTIM|GRADUAL_INCREASE,1679,0,0.037,False,False,1
BEH-00008197,AU-CUST00755,TXN-2024-008188,2025-09-23T18:05:19,0.09,NORMAL,1077,3,0.356,False,False,2
BEH-00007036,AU-CUST00913,TXN-2024-007050,2025-06-12T20:15:09,0.166,NORMAL,778,4,0.25,False,False,3
BEH-00002757,AU-CUST00611,TXN-2024-002756,2025-08-06T11:56:31,0.421,NORMAL,1546,2,0.032,False,False,2
BEH-00000354,AU-CUST00930,TXN-2024-000350,2025-03-27T02:52:06,0.034,NORMAL,1411,1,0.1,False,False,1
BEH-00008721,AU-CUST00467,TXN-2024-008725,2025-06-14T06:42:49,0.207,NORMAL,560,3,0.141,False,False,3
BEH-00010299,AU-CUST00403,TXN-2024-010325,2025-07-02T10:19:00,0.139,NORMAL,173,4,0.232,False,False,3
BEH-00008476,AU-CUST00050,TXN-2024-008503,2025-02-27T18:31:11,0.155,NORMAL,1304,1,0.023,False,False,0
BEH-00007300,AU-CUST00266,TXN-2024-007309,2025-01-16T17:39:55,0.059,NORMAL,975,4,0.156,False,False,2
BEH-00009999,AU-CUST00573,TXN-2024-009993,2025-06-26T14:41:13,0.027,NORMAL,459,1,0.025,False,False,0
BEH-00004064,AU-CUST00637,TXN-2024-004073,2025-07-18T23:32:33,0.089,NORMAL,906,3,0.142,False,False,0
BEH-00007741,AU-CUST00983,TXN-2024-007744,2025-04-08T09:32:10,0.205,NORMAL,809,4,0.042,False,False,3
BEH-00004175,AU-CUST00918,TXN-2024-004161,2024-10-05T05:51:09,0.13,NORMAL,719,4,0.039,False,False,3
BEH-00006176,AU-CUST00475,TXN-2024-006189,2024-11-25T04:02:31,0.075,NORMAL,1674,4,0.195,False,False,3
BEH-00001290,AU-CUST00756,TXN-2024-001292,2025-06-06T01:15:58,0.374,NORMAL,1453,2,0.023,False,False,2
BEH-00004908,AU-CUST00815,TXN-2024-004876,2025-06-06T02:26:14,0.207,NORMAL,996,4,0.094,False,False,2
BEH-00007151,AU-CUST00338,TXN-2024-007147,2025-08-31T15:30:29,0.047,NORMAL,1278,2,0.02,False,False,0
BEH-00008343,AU-CUST00420,TXN-2024-008349,2025-03-15T03:10:23,0.014,NORMAL,579,1,0.075,False,False,0
BEH-00005909,AU-CUST00976,TXN-2024-005879,2024-10-24T15:29:58,0.054,NORMAL,1630,2,0.12,False,False,1
BEH-00001611,AU-CUST00915,TXN-2024-001599,2025-04-03T06:06:27,0.062,NORMAL,167,4,0.085,False,False,2
BEH-00000944,AU-CUST00808,TXN-2024-000942,2025-07-13T14:01:43,0.144,NORMAL,1652,4,0.132,False,False,1
BEH-00002209,AU-CUST00701,TXN-2024-002203,2025-06-24T18:10:06,0.05,NORMAL,1023,4,0.255,False,False,1
BEH-00002759,AU-CUST00381,TXN-2024-002785,2025-07-22T17:40:10,0.02,NORMAL,538,1,0.163,False,False,1
BEH-00007559,AU-CUST00402,TXN-2024-007589,2024-12-24T22:48:22,0.251,NORMAL,693,4,0.282,False,False,3
BEH-00003921,AU-CUST00107,TXN-2024-003932,2025-06-18T05:57:15,0.36,NORMAL,747,4,0.164,False,False,3
BEH-00001067,AU-CUST00671,TXN-2024-001057,2024-09-27T20:24:08,0.405,NORMAL,1692,4,0.678,True,True,3
BEH-00010290,AU-CUST00636,TXN-2024-010291,2025-07-12T10:25:49,0.198,NORMAL,471,1,0.203,False,False,2
BEH-00001832,AU-CUST00058,TXN-2024-001851,2025-08-23T00:24:56,0.083,NORMAL,1634,1,0.1,False,False,2
BEH-00006899,AU-CUST00921,TXN-2024-006890,2025-07-13T01:56:19,0.104,NORMAL,355,4,0.515,False,False,3
BEH-00009964,AU-CUST00555,TXN-2024-009961,2025-07-23T20:21:53,0.116,NORMAL,1528,4,0.027,False,False,1
BEH-00008084,AU-CUST00499,TXN-2024-008082,2025-08-09T01:20:15,0.333,NORMAL,416,4,0.17,False,False,3
BEH-00006491,AU-CUST00409,TXN-2024-006483,2024-07-29T13:25:02,0.032,NORMAL,1530,1,0.092,False,False,3
BEH-00010905,AU-CUST00856,TXN-2024-010909,2025-04-19T14:10:12,0.357,NORMAL,1274,4,0.298,False,False,3
BEH-00002524,AU-CUST00381,TXN-2024-002534,2025-05-26T13:22:43,0.192,NORMAL,1370,1,0.23,False,False,2
BEH-00000147,AU-CUST00449,TXN-2024-000147,2025-09-24T11:41:21,0.404,NORMAL,1640,4,0.101,False,False,3
BEH-00011228,AU-CUST00777,TXN-2024-011229,2025-06-13T11:12:25,0.246,NORMAL,1691,4,0.09,False,False,2
BEH-00011252,AU-CUST00413,TXN-2024-011254,2024-11-20T15:37:24,0.064,NORMAL,767,1,0.037,False,False,0
BEH-00003665,AU-CUST00447,TXN-2024-003669,2025-04-16T13:47:59,0.059,NORMAL,133,3,0.222,False,False,1
BEH-00006539,AU-CUST00399,TXN-2024-006526,2025-08-25T03:01:13,0.189,NORMAL,904,4,0.241,False,False,3
BEH-00011159,AU-CUST00262,TXN-2024-011168,2025-05-25T23:14:13,0.547,NORMAL,1541,4,0.195,False,False,3
BEH-00000186,AU-CUST00204,TXN-2024-000186,2025-04-13T02:50:43,0.318,NORMAL,287,2,0.167,False,True,2
BEH-00009598,AU-CUST00558,TXN-2024-009599,2025-01-08T09:10:36,0.163,NORMAL,1478,4,0.118,False,False,3
BEH-00004932,AU-CUST00736,TXN-2024-004916,2025-04-14T11:59:02,0.113,NORMAL,1056,0,0.063,False,False,0
BEH-00010888,AU-CUST00363,TXN-2024-010888,2024-10-02T23:27:36,0.118,NORMAL,1768,2,0.088,False,False,1
BEH-00002287,AU-CUST00541,TXN-2024-002287,2024-07-23T19:34:27,0.074,NORMAL,874,3,0.101,False,True,3
BEH-00010634,AU-CUST00025,TXN-2024-010629,2025-04-05T03:48:57,0.099,NORMAL,281,3,0.182,False,False,2
BEH-00008454,AU-CUST00431,TXN-2024-008459,2024-11-27T17:02:04,0.092,NORMAL,680,0,0.111,False,False,2
BEH-00005052,AU-CUST00629,TXN-2024-005051,2025-04-12T14:15:48,0.302,NORMAL,329,2,0.224,False,False,2
BEH-00009624,AU-CUST00609,TXN-2024-009635,2025-03-04T21:48:10,0.232,NORMAL,1501,4,0.279,False,False,3
BEH-00010492,AU-CUST00717,TXN-2024-010488,2025-01-31T07:52:08,0.197,NORMAL,276,3,0.43,False,False,2
BEH-00004171,AU-CUST00778,TXN-2024-004182,2025-09-25T09:07:40,0.363,NORMAL,221,4,0.22,False,False,3
BEH-00002224,AU-CUST00524,TXN-2024-002219,2025-05-15T00:08:18,0.303,NORMAL,1458,4,0.854,False,False,3
BEH-00005158,AU-CUST00390,TXN-2024-005152,2025-02-03T12:24:21,0.063,NORMAL,1190,0,0.023,False,False,0
BEH-00008535,AU-CUST00387,TXN-2024-008547,2025-09-07T09:34:10,0.571,NORMAL,484,4,0.218,False,False,3
BEH-00008028,AU-CUST00584,TXN-2024-008031,2025-03-14T06:49:15,0.526,NORMAL,694,4,0.146,False,False,3
BEH-00001468,AU-CUST00110,TXN-2024-001460,2025-03-05T22:54:28,0.026,NORMAL,369,0,0.101,False,False,1
BEH-00009286,AU-CUST00559,TXN-2024-009297,2025-08-04T14:50:56,0.136,NORMAL,659,4,0.247,False,False,3
BEH-00000373,AU-CUST00327,TXN-2024-000373,2024-10-28T18:06:40,0.468,NORMAL,1235,4,0.424,False,False,3
BEH-00003370,AU-CUST00698,TXN-2024-003390,2025-02-06T09:14:46,0.076,NORMAL,1453,0,0.015,False,False,0
BEH-00001314,AU-CUST00197,TXN-2024-001317,2025-07-15T20:35:15,0.1,NORMAL,582,1,0.048,False,False,2
BEH-00008486,AU-CUST00250,TXN-2024-008487,2025-02-13T16:39:22,0.237,NORMAL,306,4,0.116,False,False,3
