alert_id,customer_id,transaction_id,rule_id,strategy,queue,priority,status,alert_date,alert_time,risk_score,escalation_level,false_positive_probability,customer_contact_attempts
ALRT-AU-CUST00602-34,AU-CUST00960,TXN-2024-000672,RUL-TX833,Mule Activity,High-Risk Behaviour,High,Open,2025-03-22,00:33:07,777,L2,0.12,3
ALRT-AU-CUST00666-323,AU-CUST00063,TXN-2024-008383,RUL-TX519,App Bank Impersonation,High-Risk Behaviour,High,Open,2024-11-28,01:10:31,861,L2,0.11,3
ALRT-AU-CUST00844-354,AU-CUST00813,TXN-2024-009165,RUL-TX128,App Bank Impersonation,High-Risk Behaviour,Critical,Open,2024-11-09,04:51:39,818,L1,0.4,3
ALRT-AU-CUST00402-115,AU-CUST00788,TXN-2024-003118,RUL-TX644,App Investment Scam,Device Anomaly,High,Open,2025-03-28,22:31:35,766,L2,0.31,3
ALRT-AU-CUST00111-203,AU-CUST00817,TXN-2024-005597,RUL-TX339,App Invoice Fraud,High-Risk Behaviour,High,Open,2024-10-10,03:12:01,850,L1,0.29,2
ALRT-AU-CUST00479-193,AU-CUST00450,TXN-2024-005256,RUL-TX699,Mule Activity,Investment Scam Monitoring,High,Open,2024-05-11,19:20:55,838,L1,0.35,2
ALRT-AU-CUST00544-307,AU-CUST00827,TXN-2024-008060,RUL-TX109,App Romance Scam,Device Anomaly,High,Open,2025-03-14,12:30:42,782,L1,0.06,1
ALRT-AU-CUST00807-95,AU-CUST00398,TXN-2024-002583,RUL-TX914,App Investment Scam,Investment Scam Monitoring,High,Open,2025-06-08,22:23:28,927,L2,0.18,3
ALRT-AU-CUST00427-131,AU-CUST00800,TXN-2024-003591,RUL-TX438,App Investment Scam,Device Anomaly,High,Open,2024-08-24,06:03:36,776,L1,0.16,1
ALRT-AU-CUST00419-342,AU-CUST00068,TXN-2024-008637,RUL-TX552,App Bank Impersonation,High-Risk Behaviour,High,Open,2025-07-04,21:52:04,809,L2,0.27,2
ALRT-AU-CUST00419-342,AU-CUST00848,TXN-2024-008847,RUL-TX546,Mule Activity,Investment Scam Monitoring,High,Open,2025-03-23,03:32:17,780,L1,0.12,2
ALRT-AU-CUST00029-271,AU-CUST00965,TXN-2024-007483,RUL-TX148,App Investment Scam,Device Anomaly,High,Open,2024-06-27,04:50:52,766,L2,0.2,2
ALRT-AU-CUST00812-314,AU-CUST00483,TXN-2024-008117,RUL-TX438,App Bank Impersonation,Investment Scam Monitoring,High,Open,2024-08-24,05:16:18,856,L1,0.24,3
ALRT-AU-CUST00715-155,AU-CUST00660,TXN-2024-004047,RUL-TX710,Mule Activity,Device Anomaly,High,Open,2025-09-09,06:03:36,785,L2,0.07,2
ALRT-AU-CUST00051-432,AU-CUST00704,TXN-2024-011274,RUL-TX850,App Romance Scam,Device Anomaly,High,Open,2024-10-06,22:59:47,802,L1,0.38,2
ALRT-AU-CUST00560-438,AU-CUST00581,TXN-2024-011521,RUL-TX471,App Investment Scam,High-Risk Behaviour,High,Open,2025-09-17,00:45:00,827,L1,0.14,3
ALRT-AU-CUST00369-8,AU-CUST00195,TXN-2024-000235,RUL-TX237,App Romance Scam,High-Risk Behaviour,High,Open,2025-05-01,14:47:55,918,L1,0.4,2
ALRT-AU-CUST00553-160,AU-CUST00800,TXN-2024-004230,RUL-TX298,App Investment Scam,Device Anomaly,High,Open,2025-06-24,01:04:39,891,L1,0.35,3
ALRT-AU-CUST00011-418,AU-CUST00821,TXN-2024-010810,RUL-TX487,App Invoice Fraud,High-Risk Behaviour,High,Open,2025-04-16,05:16:29,792,L1,0.35,3
ALRT-AU-CUST00265-10,AU-CUST00884,TXN-2024-000260,RUL-TX202,App Romance Scam,High-Risk Behaviour,Critical,Open,2024-11-05,22:49:43,871,L1,0.3,2
ALRT-AU-CUST00421-412,AU-CUST00844,TXN-2024-010612,RUL-TX745,Mule Activity,Investment Scam Monitoring,Critical,Open,2024-12-22,14:32:13,867,L2,0.3,1
ALRT-AU-CUST00666-426,AU-CUST00560,TXN-2024-011087,RUL-TX733,App Investment Scam,High-Risk Behaviour,High,Open,2025-01-27,11:58:34,817,L1,0.3,3
ALRT-AU-CUST00818-229,AU-CUST00600,TXN-2024-006234,RUL-TX770,App Investment Scam,Investment Scam Monitoring,Critical,Open,2025-08-01,18:29:58,856,L2,0.25,3
ALRT-AU-CUST00169-433,AU-CUST00321,TXN-2024-011276,RUL-TX301,App Invoice Fraud,Investment Scam Monitoring,High,Open,2025-06-20,21:53:25,916,L2,0.3,3
ALRT-AU-CUST00398-82,AU-CUST00723,TXN-2024-002121,RUL-TX423,App Invoice Fraud,Investment Scam Monitoring,High,Open,2025-03-11,23:35:38,765,L1,0.19,2
ALRT-AU-CUST00400-30,AU-CUST00965,TXN-2024-000610,RUL-TX700,Mule Activity,Device Anomaly,High,Open,2025-03-25,22:19:09,850,L2,0.23,1
ALRT-AU-CUST00176-173,AU-CUST00595,TXN-2024-004725,RUL-TX179,Mule Activity,High-Risk Behaviour,High,Open,2025-01-09,13:15:17,827,L2,0.3,2
ALRT-AU-CUST00891-9,AU-CUST00939,TXN-2024-000243,RUL-TX460,App Investment Scam,High-Risk Behaviour,High,Open,2025-08-05,13:18:14,842,L1,0.25,3
ALRT-AU-CUST00604-340,AU-CUST00203,TXN-2024-008825,RUL-TX546,App Investment Scam,Investment Scam Monitoring,High,Open,2024-09-05,05:05:27,785,L2,0.39,2
ALRT-AU-CUST00188-162,AU-CUST00633,TXN-2024-004345,RUL-TX177,App Investment Scam,Device Anomaly,High,Open,2025-03-05,14:48:54,853,L2,0.2,2
ALRT-AU-CUST00800-238,AU-CUST00666,TXN-2024-006465,RUL-TX748,Mule Activity,High-Risk Behaviour,High,Open,2025-04-16,18:29:58,795,L1,0.06,2
ALRT-AU-CUST00400-285,AU-CUST00666,TXN-2024-007681,RUL-TX339,App Investment Scam,Device Anomaly,High,Open,2025-07-30,21:45:29,897,L1,0.17,2
ALRT-AU-CUST00427-368,AU-CUST00602,TXN-2024-009642,RUL-TX579,Mule Activity,Investment Scam Monitoring,High,Open,2025-01-16,04:44:15,893,L2,0.26,3
ALRT-AU-CUST00511-310,AU-CUST00866,TXN-2024-008149,RUL-TX429,App Bank Impersonation,Device Anomaly,High,Open,2025-02-17,02:45:13,767,L1,0.27,3
ALRT-AU-CUST00024-406,AU-CUST00337,TXN-2024-010560,RUL-TX139,Mule Activity,Device Anomaly,High,Open,2024-10-26,11:45:44,762,L1,0.08,3
ALRT-AU-CUST00600-129,AU-CUST00720,TXN-2024-003572,RUL-TX953,App Investment Scam,Investment Scam Monitoring,High,Open,2024-05-21,00:11:03,836,L1,0.4,2
ALRT-AU-CUST00885-147,AU-CUST00176,TXN-2024-003895,RUL-TX761,Mule Activity,Device Anomaly,High,Open,2025-09-01,06:33:43,896,L2,0.09,2
ALRT-AU-CUST00479-427,AU-CUST00572,TXN-2024-011080,RUL-TX502,App Investment Scam,Investment Scam Monitoring,High,Open,2025-03-14,05:25:31,769,L1,0.3,3
ALRT-AU-CUST00775-172,AU-CUST00176,TXN-2024-004646,RUL-TX111,Mule Activity,Investment Scam Monitoring,Critical,Open,2024-12-21,15:08:38,929,L2,0.24,1
ALRT-AU-CUST00588-330,AU-CUST00406,TXN-2024-008471,RUL-TX599,Mule Activity,Device Anomaly,High,Open,2025-01-02,02:14:39,788,L2,0.1,3
ALRT-AU-CUST00023-125,AU-CUST00398,TXN-2024-003505,RUL-TX330,App Bank Impersonation,Device Anomaly,Critical,Open,2025-05-13,13:03:18,882,L2,0.36,1
ALRT-AU-CUST00398-339,AU-CUST00419,TXN-2024-008829,RUL-TX150,App Bank Impersonation,Investment Scam Monitoring,High,Open,2024-05-11,08:32:14,779,L1,0.24,3
ALRT-AU-CUST00699-174,AU-CUST00666,TXN-2024-004868,RUL-TX771,App Bank Impersonation,Investment Scam Monitoring,High,Open,2025-09-29,07:27:15,769,L1,0.1,1
ALRT-AU-CUST00295-268,AU-CUST00450,TXN-2024-007409,RUL-TX377,App Invoice Fraud,Device Anomaly,High,Open,2025-03-08,18:09:41,788,L2,0.34,3
ALRT-AU-CUST00304-58,AU-CUST00742,TXN-2024-001375,RUL-TX869,App Investment Scam,High-Risk Behaviour,High,Open,2025-06-23,11:18:41,760,L2,0.08,2
ALRT-AU-CUST00720-253,AU-CUST00528,TXN-2024-006986,RUL-TX166,App Invoice Fraud,High-Risk Behaviour,High,Open,2025-08-18,16:00:54,910,L2,0.32,1
ALRT-AU-CUST00337-415,AU-CUST00706,TXN-2024-010683,RUL-TX900,App Bank Impersonation,Investment Scam Monitoring,High,Open,2025-03-12,04:23:46,885,L1,0.26,3
ALRT-AU-CUST00369-8,AU-CUST00436,TXN-2024-000243,RUL-TX463,App Investment Scam,Device Anomaly,High,Open,2025-01-21,14:47:55,818,L1,0.39,2
ALRT-AU-CUST00841-50,AU-CUST00633,TXN-2024-001210,RUL-TX781,App Bank Impersonation,Device Anomaly,High,Open,2025-01-21,21:28:01,937,L1,0.16,1
ALRT-AU-CUST00327-327,AU-CUST00117,TXN-2024-008471,RUL-TX134,App Bank Impersonation,High-Risk Behaviour,High,Open,2025-04-18,22:41:23,906,L2,0.08,1
ALRT-AU-CUST00369-8,AU-CUST00040,TXN-2024-000235,RUL-TX625,App Investment Scam,High-Risk Behaviour,High,Open,2025-08-21,03:10:11,847,L1,0.32,3
ALRT-AU-CUST00398-82,AU-CUST00199,TXN-2024-002185,RUL-TX761,App Bank Impersonation,Device Anomaly,Critical,Open,2024-11-28,21:12:51,889,L2,0.14,1
ALRT-AU-CUST00205-260,AU-CUST00502,TXN-2024-006986,RUL-TX876,App Invoice Fraud,High-Risk Behaviour,Critical,Open,2024-09-07,21:26:46,913,L2,0.25,1
ALRT-AU-CUST00955-133,AU-CUST00737,TXN-2024-003627,RUL-TX905,App Bank Impersonation,High-Risk Behaviour,Critical,Open,2025-05-15,04:54:05,900,L2,0.14,2
ALRT-AU-CUST00255-65,AU-CUST00427,TXN-2024-001599,RUL-TX237,App Investment Scam,Device Anomaly,High,Open,2025-03-22,03:00:01,880,L2,0.22,3
ALRT-AU-CUST00582-399,AU-CUST00582,TXN-2024-010288,RUL-TX383,App Investment Scam,High-Risk Behaviour,High,Open,2025-07-19,05:26:38,761,L2,0.35,2
ALRT-AU-CUST00877-249,AU-CUST00001,TXN-2024-006891,RUL-TX953,App Bank Impersonation,High-Risk Behaviour,High,Open,2025-04-29,01:13:54,811,L1,0.34,1
ALRT-AU-CUST00478-164,AU-CUST00024,TXN-2024-004453,RUL-TX683,Mule Activity,Investment Scam Monitoring,High,Open,2025-09-11,03:53:00,875,L2,0.35,2
ALRT-AU-CUST00426-24,AU-CUST00468,TXN-2024-000472,RUL-TX106,App Investment Scam,Investment Scam Monitoring,High,Open,2025-03-25,08:38:21,806,L1,0.39,2
ALRT-AU-CUST00446-278,AU-CUST00827,TXN-2024-007635,RUL-TX748,App Invoice Fraud,Device Anomaly,High,Open,2025-09-25,04:36:59,778,L1,0.35,2
ALRT-AU-CUST00400-46,AU-CUST00468,TXN-2024-001099,RUL-TX915,App Investment Scam,High-Risk Behaviour,High,Open,2025-07-07,04:32:55,832,L1,0.3,3
ALRT-AU-CUST00502-224,AU-CUST00788,TXN-2024-006234,RUL-TX102,App Invoice Fraud,High-Risk Behaviour,High,Open,2024-03-03,10:43:44,932,L2,0.29,3
ALRT-AU-CUST00654-379,AU-CUST00575,TXN-2024-009761,RUL-TX758,App Bank Impersonation,High-Risk Behaviour,High,Open,2025-04-07,01:59:53,780,L2,0.39,1
ALRT-AU-CUST00386-280,AU-CUST00984,TXN-2024-007570,RUL-TX745,App Investment Scam,High-Risk Behaviour,High,Open,2024-12-04,01:38:47,806,L2,0.13,1
ALRT-AU-CUST00256-228,AU-CUST00398,TXN-2024-006325,RUL-TX938,Mule Activity,Investment Scam Monitoring,Critical,Open,2025-01-25,05:14:20,930,L1,0.33,2
ALRT-AU-CUST00436-18,AU-CUST00703,TXN-2024-000388,RUL-TX460,App Invoice Fraud,Device Anomaly,High,Open,2025-03-10,03:07:59,842,L1,0.36,1
ALRT-AU-CUST00737-93,AU-CUST00427,TXN-2024-002517,RUL-TX787,App Investment Scam,Investment Scam Monitoring,Critical,Open,2024-04-15,22:31:35,931,L1,0.14,1
ALRT-AU-CUST00436-153,AU-CUST00817,TXN-2024-004111,RUL-TX638,App Invoice Fraud,High-Risk Behaviour,High,Open,2024-08-24,06:33:43,857,L1,0.34,1
ALRT-AU-CUST00817-300,AU-CUST00011,TXN-2024-007790,RUL-TX672,App Romance Scam,Investment Scam Monitoring,High,Open,2025-02-26,00:05:06,782,L1,0.35,3
ALRT-AU-CUST00788-337,AU-CUST00117,TXN-2024-008742,RUL-TX353,App Romance Scam,Device Anomaly,High,Open,2024-09-03,09:20:30,925,L2,0.25,2
ALRT-AU-CUST00503-2,AU-CUST00327,TXN-2024-000056,RUL-TX370,App Investment Scam,Investment Scam Monitoring,High,Open,2025-05-01,03:11:51,803,L2,0.32,3
ALRT-AU-CUST00118-359,AU-CUST00939,TXN-2024-009163,RUL-TX879,App Bank Impersonation,Device Anomaly,High,Open,2024-05-21,02:23:40,782,L1,0.36,1
ALRT-AU-CUST00029-271,AU-CUST00796,TXN-2024-007409,RUL-TX344,App Romance Scam,High-Risk Behaviour,High,Open,2024-09-05,03:42:09,936,L1,0.33,2
ALRT-AU-CUST00732-292,AU-CUST00577,TXN-2024-007682,RUL-TX261,App Romance Scam,Investment Scam Monitoring,High,Open,2024-12-21,08:32:14,802,L1,0.27,3
ALRT-AU-CUST00427-138,AU-CUST00327,TXN-2024-003748,RUL-TX761,Mule Activity,Device Anomaly,High,Open,2025-03-10,13:59:04,867,L1,0.26,2
ALRT-AU-CUST00037-254,AU-CUST00898,TXN-2024-007002,RUL-TX599,App Bank Impersonation,High-Risk Behaviour,High,Open,2025-08-26,20:18:46,821,L2,0.34,2
ALRT-AU-CUST00398-213,AU-CUST00782,TXN-2024-005992,RUL-TX770,App Bank Impersonation,Investment Scam Monitoring,High,Open,2025-01-29,02:02:37,774,L1,0.19,1
ALRT-AU-CUST00536-189,AU-CUST00737,TXN-2024-005280,RUL-TX164,App Romance Scam,High-Risk Behaviour,High,Open,2025-02-18,15:05:13,812,L1,0.16,2
ALRT-AU-CUST00314-240,AU-CUST00118,TXN-2024-006712,RUL-TX164,App Investment Scam,Device Anomaly,High,Open,2024-12-21,02:02:37,922,L1,0.32,1
ALRT-AU-CUST00398-44,AU-CUST00427,TXN-2024-001073,RUL-TX687,App Bank Impersonation,Device Anomaly,High,Open,2025-04-30,19:32:48,819,L2,0.27,3
ALRT-AU-CUST00594-223,AU-CUST00072,TXN-2024-006234,RUL-TX588,Mule Activity,Device Anomaly,High,Open,2025-02-03,07:08:34,811,L2,0.3,1
ALRT-AU-CUST00853-390,AU-CUST00518,TXN-2024-010004,RUL-TX692,App Investment Scam,Device Anomaly,High,Open,2025-02-23,14:40:31,875,L2,0.4,3
ALRT-AU-CUST00632-414,AU-CUST00182,TXN-2024-010692,RUL-TX611,App Romance Scam,High-Risk Behaviour,High,Open,2024-10-10,05:25:31,796,L1,0.31,1
ALRT-AU-CUST00421-120,AU-CUST00116,TXN-2024-003250,RUL-TX332,App Investment Scam,High-Risk Behaviour,High,Open,2025-08-22,23:35:38,872,L1,0.26,3
ALRT-AU-CUST00443-205,AU-CUST00817,TXN-2024-005949,RUL-TX569,App Romance Scam,High-Risk Behaviour,High,Open,2025-05-21,12:34:30,801,L2,0.2,1
ALRT-AU-CUST00029-214,AU-CUST00205,TXN-2024-005985,RUL-TX119,App Bank Impersonation,Investment Scam Monitoring,High,Open,2024-07-30,22:46:37,820,L2,0.07,1
ALRT-AU-CUST00831-206,AU-CUST00536,TXN-2024-005858,RUL-TX459,App Romance Scam,Device Anomaly,Critical,Open,2025-04-11,14:41:16,919,L1,0.09,3
ALRT-AU-CUST00421-378,AU-CUST00255,TXN-2024-009832,RUL-TX139,App Bank Impersonation,Device Anomaly,High,Open,2025-03-08,14:40:31,776,L2,0.35,1
ALRT-AU-CUST00369-259,AU-CUST00087,TXN-2024-006993,RUL-TX982,App Bank Impersonation,Device Anomaly,Critical,Open,2025-04-16,04:57:34,939,L1,0.22,3
ALRT-AU-CUST00479-427,AU-CUST00514,TXN-2024-011185,RUL-TX871,App Investment Scam,Device Anomaly,High,Open,2025-02-10,07:53:47,765,L2,0.33,3
ALRT-AU-CUST00514-346,AU-CUST00059,TXN-2024-008847,RUL-TX260,App Bank Impersonation,Device Anomaly,High,Open,2024-05-18,10:41:42,864,L2,0.29,1
ALRT-AU-CUST00468-66,AU-CUST00086,TXN-2024-001737,RUL-TX681,App Investment Scam,Investment Scam Monitoring,High,Open,2024-07-30,23:01:22,783,L1,0.29,3
ALRT-AU-CUST00673-226,AU-CUST00360,TXN-2024-006074,RUL-TX750,App Bank Impersonation,Device Anomaly,High,Open,2024-12-25,05:25:07,822,L2,0.14,2
ALRT-AU-CUST00105-246,AU-CUST00666,TXN-2024-006712,RUL-TX164,App Bank Impersonation,Device Anomaly,High,Open,2025-07-31,01:44:17,930,L1,0.19,1
ALRT-AU-CUST00452-315,AU-CUST00511,TXN-2024-008298,RUL-TX324,App Romance Scam,Device Anomaly,Critical,Open,2025-06-19,01:41:51,862,L1,0.3,3
ALRT-AU-CUST00848-291,AU-CUST00051,TXN-2024-007685,RUL-TX436,App Bank Impersonation,Device Anomaly,High,Open,2025-04-27,05:59:05,777,L2,0.08,2
ALRT-AU-CUST00656-11,AU-CUST00381,TXN-2024-000319,RUL-TX467,App Bank Impersonation,Device Anomaly,High,Open,2025-04-27,08:06:46,855,L2,0.31,1
ALRT-AU-CUST00800-101,AU-CUST00443,TXN-2024-002743,RUL-TX652,Mule Activity,High-Risk Behaviour,High,Open,2025-09-29,00:53:54,765,L1,0.39,3
ALRT-AU-CUST00335-239,AU-CUST00167,TXN-2024-006465,RUL-TX750,App Investment Scam,High-Risk Behaviour,High,Open,2024-03-11,12:02:05,912,L1,0.33,2
ALRT-AU-CUST00417-104,AU-CUST00856,TXN-2024-002743,RUL-TX770,App Investment Scam,Device Anomaly,High,Open,2025-03-22,22:16:10,903,L2,0.08,3
ALRT-AU-CUST00381-383,AU-CUST00177,TXN-2024-009867,RUL-TX164,App Investment Scam,Investment Scam Monitoring,High,Open,2025-08-26,19:10:01,862,L1,0.2,1
ALRT-AU-CUST00785-430,AU-CUST00169,TXN-2024-011194,RUL-TX632,Mule Activity,High-Risk Behaviour,High,Open,2025-02-10,10:25:23,908,L1,0.25,3
ALRT-AU-CUST00656-215,AU-CUST00553,TXN-2024-005996,RUL-TX374,App Investment Scam,Device Anomaly,High,Open,2025-09-09,00:08:32,904,L1,0.18,2
ALRT-AU-CUST00400-103,AU-CUST00398,TXN-2024-002715,RUL-TX184,App Bank Impersonation,High-Risk Behaviour,High,Open,2024-05-19,21:12:51,837,L1,0.28,2
ALRT-AU-CUST00610-436,AU-CUST00337,TXN-2024-011457,RUL-TX354,App Investment Scam,Investment Scam Monitoring,Critical,Open,2025-06-03,12:07:05,797,L2,0.34,2
ALRT-AU-CUST00884-140,AU-CUST00421,TXN-2024-003627,RUL-TX895,Mule Activity,Investment Scam Monitoring,High,Open,2025-05-03,01:54:37,768,L2,0.08,1
ALRT-AU-CUST00381-190,AU-CUST00023,TXN-2024-005280,RUL-TX617,Mule Activity,Device Anomaly,Critical,Open,2025-04-05,05:59:09,809,L1,0.27,2
ALRT-AU-CUST00398-82,AU-CUST00398,TXN-2024-002185,RUL-TX768,Mule Activity,Investment Scam Monitoring,High,Open,2025-09-13,08:10:17,783,L1,0.39,2
ALRT-AU-CUST00256-228,AU-CUST00508,TXN-2024-006304,RUL-TX517,App Romance Scam,Device Anomaly,High,Open,2024-05-25,04:53:43,798,L1,0.32,3
ALRT-AU-CUST00109-157,AU-CUST00111,TXN-2024-004229,RUL-TX377,App Bank Impersonation,High-Risk Behaviour,High,Open,2024-09-28,05:28:50,849,L2,0.24,2
ALRT-AU-CUST00427-131,AU-CUST00398,TXN-2024-003591,RUL-TX588,App Bank Impersonation,Device Anomaly,High,Open,2025-08-27,02:34:53,761,L1,0.1,2
ALRT-AU-CUST00875-207,AU-CUST00999,TXN-2024-005457,RUL-TX905,App Invoice Fraud,Device Anomaly,High,Open,2025-03-25,04:09:50,781,L2,0.07,1
ALRT-AU-CUST00678-451,AU-CUST00663,TXN-2024-011976,RUL-TX954,Mule Activity,High-Risk Behaviour,High,Open,2024-05-18,17:03:05,842,L1,0.22,2
ALRT-AU-CUST00419-342,AU-CUST00588,TXN-2024-008742,RUL-TX644,App Investment Scam,High-Risk Behaviour,High,Open,2025-03-14,23:11:19,815,L2,0.31,1
ALRT-AU-CUST00877-41,AU-CUST00468,TXN-2024-001031,RUL-TX768,App Bank Impersonation,Device Anomaly,High,Open,2025-08-18,12:52:34,888,L1,0.3,1
ALRT-AU-CUST00604-62,AU-CUST00436,TXN-2024-001534,RUL-TX142,App Investment Scam,Device Anomaly,High,Open,2025-06-09,05:45:48,793,L2,0.23,2
ALRT-AU-CUST00884-140,AU-CUST00957,TXN-2024-003764,RUL-TX384,App Bank Impersonation,Device Anomaly,High,Open,2024-11-12,10:50:33,799,L2,0.31,3
ALRT-AU-CUST00237-17,AU-CUST00427,TXN-2024-000372,RUL-TX914,App Investment Scam,High-Risk Behaviour,High,Open,2025-08-17,19:35:30,836,L2,0.06,1
ALRT-AU-CUST00192-256,AU-CUST00167,TXN-2024-006993,RUL-TX941,App Bank Impersonation,Investment Scam Monitoring,Critical,Open,2025-09-18,07:08:34,886,L2,0.26,1
ALRT-AU-CUST00417-104,AU-CUST00369,TXN-2024-002815,RUL-TX343,App Bank Impersonation,Device Anomaly,High,Open,2024-11-22,06:03:36,875,L1,0.22,3
ALRT-AU-CUST00427-306,AU-CUST00105,TXN-2024-008162,RUL-TX270,App Bank Impersonation,High-Risk Behaviour,High,Open,2025-03-04,10:22:27,790,L2,0.21,1
ALRT-AU-CUST00143-331,AU-CUST00884,TXN-2024-008544,RUL-TX968,App Investment Scam,Device Anomaly,High,Open,2024-11-22,20:47:06,914,L2,0.08,2
ALRT-AU-CUST00385-118,AU-CUST00763,TXN-2024-003383,RUL-TX961,App Romance Scam,Investment Scam Monitoring,High,Open,2025-09-15,09:36:42,861,L1,0.22,2
ALRT-AU-CUST00910-191,AU-CUST00643,TXN-2024-005206,RUL-TX274,App Investment Scam,High-Risk Behaviour,High,Open,2025-06-15,07:21:41,830,L1,0.34,2
ALRT-AU-CUST00261-236,AU-CUST00398,TXN-2024-006452,RUL-TX830,App Bank Impersonation,Investment Scam Monitoring,Critical,Open,2025-07-27,23:22:24,938,L2,0.31,2
ALRT-AU-CUST00830-51,AU-CUST00436,TXN-2024-001301,RUL-TX337,App Invoice Fraud,High-Risk Behaviour,High,Open,2024-10-04,18:20:33,854,L1,0.33,2
ALRT-AU-CUST00786-222,AU-CUST00554,TXN-2024-006121,RUL-TX913,App Investment Scam,High-Risk Behaviour,High,Open,2024-12-30,04:59:16,781,L1,0.34,1
ALRT-AU-CUST00483-352,AU-CUST00395,TXN-2024-009118,RUL-TX569,App Investment Scam,Device Anomaly,High,Open,2025-09-01,01:05:07,820,L2,0.31,3
ALRT-AU-CUST00969-48,AU-CUST00720,TXN-2024-001198,RUL-TX873,App Investment Scam,Investment Scam Monitoring,High,Open,2025-01-20,16:54:00,874,L1,0.07,1
ALRT-AU-CUST00276-79,AU-CUST00055,TXN-2024-002121,RUL-TX942,Mule Activity,High-Risk Behaviour,High,Open,2025-06-05,09:16:08,913,L2,0.19,1
ALRT-AU-CUST00663-434,AU-CUST00610,TXN-2024-011276,RUL-TX132,App Bank Impersonation,Device Anomaly,High,Open,2025-09-12,21:53:25,775,L2,0.36,3
ALRT-AU-CUST00788-337,AU-CUST00444,TXN-2024-008814,RUL-TX550,App Invoice Fraud,Device Anomaly,High,Open,2025-03-14,05:31:30,813,L2,0.16,2
ALRT-AU-CUST00316-21,AU-CUST00419,TXN-2024-000424,RUL-TX870,App Bank Impersonation,Device Anomaly,Critical,Open,2025-08-27,12:12:00,904,L2,0.25,1
ALRT-AU-CUST00847-38,AU-CUST00436,TXN-2024-000845,RUL-TX140,App Bank Impersonation,Investment Scam Monitoring,Critical,Open,2025-08-12,00:33:07,928,L2,0.36,3
ALRT-AU-CUST00852-182,AU-CUST00666,TXN-2024-005047,RUL-TX249,App Invoice Fraud,Investment Scam Monitoring,High,Open,2025-09-13,09:03:07,765,L2,0.2,2
