call_id,customer_id,transaction_id,call_date,call_time,call_type,call_outcome_category,call_duration_seconds,analyst_team,risk_level,customer_profile,escalated,call_quality_score,resolution_time_hours
CALL-000334,AU-CUST00775,TXN-2024-010142,2024-05-13,20:39:37,Outbound,Customer reached,1293,Customer Protection,High,Standard,False,0.8,2.6
CALL-000103,AU-CUST00483,TXN-2024-003520,2025-04-08,23:13:05,Outbound,Customer reached,1317,Fraud Ops,High,Standard,True,0.77,0.6
CALL-000009,AU-CUST00398,TXN-2024-000324,2024-08-05,01:40:29,Outbound,No Response,1775,Customer Protection,High,Standard,False,0.92,2.4
CALL-000194,AU-CUST00996,TXN-2024-006338,2024-01-27,04:18:07,Outbound,No Response,1614,Customer Protection,Medium,Standard,False,0.75,4.2
CALL-000088,AU-CUST00395,TXN-2024-002827,2025-04-30,05:16:45,Outbound,Customer reached,629,Fraud Ops,High,Standard,False,0.88,5.6
CALL-000310,AU-CUST00818,TXN-2024-009435,2025-08-10,01:49:09,Inbound,Customer reached,1568,Fraud Ops,High,Standard,False,0.8,5.4
CALL-000317,AU-CUST00167,TXN-2024-009655,2024-08-24,12:13:46,Outbound,Customer reached,332,Customer Protection,Medium,Vulnerable,False,0.74,3.8
CALL-000079,AU-CUST00161,TXN-2024-002598,2025-02-19,22:15:59,Outbound,Customer reached,473,Transaction Risk,High,Vulnerable,True,0.73,1.5
CALL-000236,AU-CUST00855,TXN-2024-007672,2025-08-22,23:24:48,Outbound,No Response,1294,Customer Protection,High,Vulnerable,False,0.89,5.0
CALL-000235,AU-CUST00427,TXN-2024-007669,2025-08-07,21:27:21,Outbound,Customer reached,663,Fraud Ops,High,Vulnerable,False,0.83,2.5
CALL-000298,AU-CUST00810,TXN-2024-009165,2025-06-02,14:29:49,Outbound,No Response,714,Transaction Risk,Medium,Standard,True,0.88,1.9
CALL-000050,AU-CUST00666,TXN-2024-001578,2025-09-20,03:49:04,Outbound,No Response,2164,Transaction Risk,Medium,Vulnerable,False,0.75,4.0
CALL-000159,AU-CUST00067,TXN-2024-005111,2025-06-03,13:01:54,Outbound,Voicemail left,641,Transaction Risk,High,Standard,True,0.93,3.2
CALL-000271,AU-CUST00444,TXN-2024-008523,2025-07-20,09:56:00,Outbound,Customer reached,975,Customer Protection,High,Vulnerable,False,0.91,4.2
CALL-000280,AU-CUST00023,TXN-2024-008514,2025-09-28,00:00:45,Outbound,Customer reached,891,Fraud Ops,High,Standard,False,0.85,3.8
CALL-000237,AU-CUST00252,TXN-2024-007550,2025-06-21,04:40:42,Outbound,Customer reached,1891,Transaction Risk,Medium,Standard,True,0.89,1.3
CALL-000270,AU-CUST00996,TXN-2024-008471,2025-08-19,21:49:57,Inbound,No Response,990,Transaction Risk,High,Vulnerable,False,0.75,5.8
CALL-000105,AU-CUST00666,TXN-2024-003467,2025-05-13,10:35:44,Outbound,Customer reached,1479,Fraud Ops,High,Standard,False,0.89,2.2
CALL-000337,AU-CUST00444,TXN-2024-010223,2025-01-23,22:34:04,Inbound,Customer reached,438,Transaction Risk,High,Vulnerable,False,0.92,1.0
CALL-000373,AU-CUST00994,TXN-2024-011502,2025-04-12,02:11:24,Outbound,Customer reached,523,Fraud Ops,Medium,Vulnerable,False,0.86,5.7
CALL-000009,AU-CUST00400,TXN-2024-000358,2024-12-16,01:40:29,Inbound,Customer reached,411,Transaction Risk,Medium,Vulnerable,False,0.86,0.7
CALL-000095,AU-CUST00421,TXN-2024-003250,2025-03-23,20:29:28,Inbound,Voicemail left,808,Transaction Risk,High,Vulnerable,False,0.72,4.8
CALL-000327,AU-CUST00046,TXN-2024-009925,2025-05-23,22:45:51,Outbound,Customer reached,406,Customer Protection,High,Vulnerable,False,0.77,5.3
CALL-000013,AU-CUST00381,TXN-2024-000403,2025-06-22,22:46:29,Inbound,Customer reached,254,Transaction Risk,Medium,Vulnerable,False,0.74,3.6
CALL-000320,AU-CUST00632,TXN-2024-009821,2024-05-18,08:45:09,Inbound,Voicemail left,913,Customer Protection,High,Vulnerable,False,0.77,3.8
CALL-000365,AU-CUST00685,TXN-2024-011064,2025-09-24,05:31:51,Outbound,Customer reached,319,Fraud Ops,Medium,Vulnerable,False,0.78,2.6
CALL-000187,AU-CUST00666,TXN-2024-006234,2025-08-10,07:49:29,Inbound,Customer reached,1690,Fraud Ops,Medium,Vulnerable,False,0.75,2.5
CALL-000378,AU-CUST00290,TXN-2024-011610,2024-08-25,21:36:27,Outbound,No Response,1590,Customer Protection,High,Vulnerable,False,0.78,4.7
CALL-000119,AU-CUST00395,TXN-2024-003939,2024-12-30,23:35:13,Outbound,Customer reached,288,Customer Protection,High,Standard,False,0.79,4.6
CALL-000036,AU-CUST00715,TXN-2024-001113,2025-01-21,00:10:56,Outbound,No Response,1520,Customer Protection,Medium,Standard,False,0.8,0.8
CALL-000267,AU-CUST00468,TXN-2024-008319,2024-11-17,02:20:13,Outbound,Customer reached,853,Customer Protection,Medium,Vulnerable,False,0.81,5.0
CALL-000038,AU-CUST00353,TXN-2024-001113,2025-07-18,11:30:23,Outbound,Customer reached,420,Transaction Risk,High,Vulnerable,False,0.84,5.7
CALL-000323,AU-CUST00603,TXN-2024-009848,2024-06-21,23:19:55,Inbound,Voicemail left,423,Fraud Ops,High,Vulnerable,True,0.79,4.5
CALL-000095,AU-CUST00254,TXN-2024-003288,2025-08-01,21:21:35,Inbound,Customer reached,1192,Fraud Ops,High,Vulnerable,False,0.88,2.7
CALL-000210,AU-CUST00894,TXN-2024-006941,2025-07-31,14:23:51,Outbound,Customer reached,1047,Fraud Ops,Medium,Standard,False,0.76,5.6
CALL-000254,AU-CUST00688,TXN-2024-008090,2025-06-23,00:00:23,Outbound,Voicemail left,1620,Transaction Risk,Medium,Vulnerable,False,0.78,4.0
CALL-000309,AU-CUST00948,TXN-2024-009192,2025-08-31,04:25:14,Outbound,No Response,2365,Transaction Risk,High,Vulnerable,True,0.92,5.2
CALL-000239,AU-CUST00633,TXN-2024-007692,2024-10-06,01:24:55,Outbound,No Response,981,Transaction Risk,High,Vulnerable,True,0.72,1.7
CALL-000366,AU-CUST00876,TXN-2024-011087,2025-09-26,13:25:11,Outbound,Customer reached,908,Transaction Risk,High,Standard,False,0.81,4.8
CALL-000126,AU-CUST00111,TXN-2024-003952,2025-05-17,23:35:13,Outbound,No Response,233,Fraud Ops,Medium,Vulnerable,False,0.89,1.3
CALL-000078,AU-CUST00965,TXN-2024-002487,2025-05-14,23:37:47,Outbound,Customer reached,1928,Fraud Ops,High,Standard,False,0.91,2.2
CALL-000349,AU-CUST00243,TXN-2024-010683,2024-05-18,14:51:17,Inbound,No Response,210,Transaction Risk,High,Vulnerable,False,0.75,5.9
CALL-000226,AU-CUST00377,TXN-2024-007434,2025-06-18,01:24:55,Outbound,No Response,2188,Customer Protection,Medium,Standard,False,0.79,0.8
CALL-000263,AU-CUST00848,TXN-2024-008287,2025-05-05,02:10:46,Inbound,Customer reached,1552,Fraud Ops,High,Standard,False,0.71,4.5
CALL-000092,AU-CUST00400,TXN-2024-003033,2025-01-09,00:26:46,Outbound,Voicemail left,1601,Fraud Ops,High,Standard,False,0.82,0.9
CALL-000268,AU-CUST00781,TXN-2024-008258,2024-03-30,06:07:36,Outbound,Customer reached,1768,Fraud Ops,Medium,Vulnerable,True,0.85,1.4
CALL-000085,AU-CUST00109,TXN-2024-002616,2024-09-07,22:15:59,Outbound,Customer reached,463,Fraud Ops,Medium,Standard,False,0.84,3.9
CALL-000296,AU-CUST00398,TXN-2024-008917,2025-05-24,11:38:18,Outbound,No Response,1641,Fraud Ops,High,Vulnerable,False,0.84,2.2
CALL-000022,AU-CUST00847,TXN-2024-000642,2025-06-23,02:17:46,Outbound,Customer reached,483,Fraud Ops,High,Standard,True,0.86,3.9
CALL-000155,AU-CUST00243,TXN-2024-005026,2025-08-07,07:14:16,Outbound,No Response,1335,Customer Protection,High,Vulnerable,False,0.91,2.7
CALL-000378,AU-CUST00818,TXN-2024-011682,2024-10-21,21:36:27,Outbound,Customer reached,1840,Fraud Ops,High,Vulnerable,False,0.83,2.6
CALL-000010,AU-CUST00381,TXN-2024-000373,2025-04-30,07:14:41,Outbound,Customer reached,736,Transaction Risk,Medium,Vulnerable,False,0.81,0.6
CALL-000036,AU-CUST00707,TXN-2024-001135,2024-11-05,21:47:37,Outbound,No Response,1008,Transaction Risk,High,Vulnerable,False,0.84,2.5
CALL-000284,AU-CUST00688,TXN-2024-008718,2025-03-11,20:08:06,Inbound,Customer reached,1774,Customer Protection,Medium,Standard,False,0.9,5.4
CALL-000029,AU-CUST00503,TXN-2024-000951,2025-05-03,11:31:22,Outbound,Customer reached,1468,Transaction Risk,Medium,Vulnerable,False,0.86,5.2
CALL-000085,AU-CUST00999,TXN-2024-002711,2025-04-04,11:32:18,Inbound,Voicemail left,2073,Customer Protection,Medium,Standard,False,0.78,2.0
CALL-000207,AU-CUST00848,TXN-2024-006974,2025-07-03,04:15:52,Outbound,No Response,1495,Customer Protection,High,Vulnerable,False,0.77,2.9
CALL-000131,AU-CUST00666,TXN-2024-003976,2024-04-13,03:18:25,Inbound,Customer reached,2060,Customer Protection,Medium,Standard,False,0.77,3.3
CALL-000052,AU-CUST00330,TXN-2024-001734,2025-08-18,22:46:41,Outbound,Customer reached,1792,Transaction Risk,High,Vulnerable,False,0.72,1.3
CALL-000352,AU-CUST00666,TXN-2024-010683,2024-06-18,00:35:31,Outbound,Customer reached,216,Customer Protection,Medium,Vulnerable,False,0.89,3.4
CALL-000260,AU-CUST00960,TXN-2024-008251,2025-02-15,07:19:14,Outbound,No Response,427,Customer Protection,Medium,Vulnerable,False,0.93,5.1
CALL-000138,AU-CUST00107,TXN-2024-004453,2025-06-05,11:12:57,Outbound,Customer reached,1129,Customer Protection,High,Vulnerable,False,0.84,1.2
CALL-000026,AU-CUST00377,TXN-2024-000680,2024-12-16,03:49:56,Outbound,Customer reached,652,Transaction Risk,Medium,Vulnerable,True,0.93,1.4
CALL-000255,AU-CUST00372,TXN-2024-008059,2025-04-17,10:24:23,Outbound,Voicemail left,579,Fraud Ops,High,Vulnerable,True,0.79,3.6
CALL-000017,AU-CUST00421,TXN-2024-000531,2025-03-30,21:49:48,Outbound,Customer reached,1157,Fraud Ops,Medium,Vulnerable,True,0.86,4.6
CALL-000143,AU-CUST00625,TXN-2024-004453,2025-07-31,10:55:49,Outbound,Voicemail left,2178,Customer Protection,High,Vulnerable,False,0.82,5.9
CALL-000313,AU-CUST00334,TXN-2024-009600,2025-03-08,00:51:40,Inbound,Customer reached,253,Customer Protection,High,Vulnerable,False,0.82,1.2
CALL-000278,AU-CUST00402,TXN-2024-008498,2025-09-19,00:32:39,Outbound,Customer reached,473,Customer Protection,Medium,Standard,False,0.89,3.3
CALL-000163,AU-CUST00978,TXN-2024-005415,2025-09-12,20:38:37,Outbound,Voicemail left,1926,Fraud Ops,Medium,Vulnerable,False,0.76,1.9
CALL-000009,AU-CUST00400,TXN-2024-000324,2024-08-05,21:43:33,Outbound,Voicemail left,1015,Customer Protection,High,Vulnerable,False,0.82,2.3
CALL-000073,AU-CUST00885,TXN-2024-002311,2025-09-02,03:56:54,Outbound,No Response,1472,Fraud Ops,Medium,Standard,False,0.73,2.1
CALL-000211,AU-CUST00395,TXN-2024-006891,2025-07-05,20:57:12,Outbound,Voicemail left,966,Customer Protection,High,Vulnerable,False,0.91,4.6
CALL-000265,AU-CUST00029,TXN-2024-008351,2024-08-24,14:06:44,Outbound,Customer reached,211,Transaction Risk,High,Vulnerable,False,0.9,2.4
CALL-000240,AU-CUST00654,TXN-2024-007681,2025-06-28,10:18:41,Inbound,Customer reached,1685,Transaction Risk,High,Vulnerable,False,0.85,0.6
CALL-000005,AU-CUST00703,TXN-2024-000221,2025-01-21,11:58:14,Inbound,Customer reached,289,Fraud Ops,High,Vulnerable,False,0.71,5.2
CALL-000230,AU-CUST00051,TXN-2024-007674,2025-02-17,21:46:24,Outbound,Customer reached,224,Fraud Ops,High,Vulnerable,False,0.89,1.1
CALL-000232,AU-CUST00525,TXN-2024-007499,2025-01-29,03:04:10,Outbound,No Response,1190,Transaction Risk,Medium,Vulnerable,False,0.87,3.9
CALL-000286,AU-CUST00528,TXN-2024-008916,2025-04-01,23:25:41,Outbound,Customer reached,529,Transaction Risk,High,Vulnerable,False,0.82,2.9
CALL-000077,AU-CUST00796,TXN-2024-002479,2025-02-26,08:19:02,Outbound,Voicemail left,989,Transaction Risk,High,Vulnerable,False,0.71,1.6
CALL-000237,AU-CUST00720,TXN-2024-007622,2025-08-26,19:48:29,Inbound,Customer reached,1763,Customer Protection,Medium,Vulnerable,False,0.88,2.4
CALL-000191,AU-CUST00202,TXN-2024-006304,2024-08-04,20:16:11,Outbound,Customer reached,495,Customer Protection,High,Standard,False,0.9,2.9
CALL-000223,AU-CUST00553,TXN-2024-007163,2024-11-09,03:20:33,Outbound,Customer reached,1236,Transaction Risk,Medium,Standard,False,0.92,1.6
CALL-000262,AU-CUST00478,TXN-2024-008173,2024-12-28,01:24:54,Inbound,Voicemail left,710,Transaction Risk,High,Vulnerable,False,0.86,1.9
CALL-000036,AU-CUST00479,TXN-2024-001135,2025-02-19,22:59:16,Outbound,Customer reached,1051,Fraud Ops,High,Vulnerable,False,0.76,2.7
CALL-000217,AU-CUST00169,TXN-2024-006993,2024-06-23,22:40:34,Inbound,Voicemail left,1691,Customer Protection,High,Standard,False,0.84,1.3
CALL-000299,AU-CUST00271,TXN-2024-009248,2025-08-08,20:02:04,Inbound,Customer reached,1610,Customer Protection,High,Vulnerable,False,0.93,0.8
CALL-000356,AU-CUST00453,TXN-2024-010869,2025-08-19,03:04:29,Inbound,Customer reached,202,Customer Protection,Medium,Vulnerable,False,0.92,3.7
CALL-000143,AU-CUST00686,TXN-2024-004631,2024-12-30,06:54:41,Outbound,Customer reached,646,Transaction Risk,Medium,Vulnerable,False,0.84,4.4
CALL-000194,AU-CUST00167,TXN-2024-006234,2024-06-06,03:47:00,Inbound,Customer reached,795,Fraud Ops,Medium,Standard,False,0.94,0.9
CALL-000142,AU-CUST00810,TXN-2024-004559,2025-08-18,06:41:31,Inbound,Customer reached,407,Customer Protection,High,Standard,False,0.86,4.7
CALL-000167,AU-CUST00029,TXN-2024-005415,2024-10-10,12:32:25,Outbound,Customer reached,2130,Transaction Risk,Medium,Standard,False,0.72,1.6
CALL-000304,AU-CUST00831,TXN-2024-009285,2024-11-15,18:03:50,Outbound,Voicemail left,666,Fraud Ops,High,Standard,True,0.94,1.1
CALL-000216,AU-CUST00818,TXN-2024-007238,2024-06-06,03:20:33,Inbound,Voicemail left,1826,Transaction Risk,High,Vulnerable,False,0.71,4.4
CALL-000379,AU-CUST00105,TXN-2024-011682,2025-08-19,07:15:13,Inbound,Customer reached,982,Transaction Risk,High,Vulnerable,True,0.72,2.4
CALL-000330,AU-CUST00143,TXN-2024-010142,2024-09-07,22:45:51,Inbound,Voicemail left,1478,Fraud Ops,High,Vulnerable,True,0.95,5.0
CALL-000042,AU-CUST00720,TXN-2024-001500,2025-05-31,21:47:37,Inbound,Customer reached,211,Transaction Risk,High,Vulnerable,False,0.8,5.4
CALL-000194,AU-CUST00417,TXN-2024-006466,2025-09-22,04:18:07,Outbound,No Response,2022,Fraud Ops,High,Standard,True,0.84,3.2
CALL-000163,AU-CUST00615,TXN-2024-005596,2025-09-07,01:43:16,Outbound,Voicemail left,1263,Fraud Ops,Medium,Standard,False,0.87,2.6
CALL-000314,AU-CUST00916,TXN-2024-009529,2025-03-26,09:21:12,Outbound,No Response,677,Transaction Risk,Medium,Vulnerable,False,0.72,1.0
CALL-000291,AU-CUST00132,TXN-2024-009016,2025-05-21,22:23:52,Outbound,Customer reached,592,Fraud Ops,High,Standard,False,0.82,2.4
CALL-000060,AU-CUST00381,TXN-2024-001961,2025-01-21,04:39:30,Inbound,Voicemail left,568,Fraud Ops,High,Standard,False,0.9,2.3
CALL-000210,AU-CUST00400,TXN-2024-006941,2025-06-09,04:32:43,Outbound,Customer reached,224,Customer Protection,High,Vulnerable,False,0.76,4.0
CALL-000226,AU-CUST00345,TXN-2024-007483,2025-09-25,09:18:04,Outbound,No Response,690,Transaction Risk,Medium,Vulnerable,False,0.84,3.6
CALL-000104,AU-CUST00978,TXN-2024-003529,2025-08-23,00:26:46,Outbound,Customer reached,2274,Transaction Risk,High,Vulnerable,False,0.72,1.8
CALL-000263,AU-CUST00946,TXN-2024-008282,2025-01-22,01:00:51,Outbound,No Response,1434,Fraud Ops,Medium,Standard,False,0.88,1.6
CALL-000326,AU-CUST00224,TXN-2024-009867,2025-01-22,22:45:51,Outbound,Voicemail left,1842,Fraud Ops,Medium,Vulnerable,False,0.78,5.9
CALL-000158,AU-CUST00707,TXN-2024-005111,2024-06-24,02:05:49,Outbound,Customer reached,1857,Transaction Risk,High,Vulnerable,False,0.91,0.8
CALL-000092,AU-CUST00181,TXN-2024-003045,2025-06-09,02:23:44,Outbound,Customer reached,423,Fraud Ops,Medium,Vulnerable,False,0.86,4.9
CALL-000376,AU-CUST00595,TXN-2024-011555,2024-08-26,04:57:48,Inbound,No Response,567,Customer Protection,Medium,Vulnerable,False,0.75,2.9
CALL-000085,AU-CUST00029,TXN-2024-002834,2025-09-08,11:32:18,Inbound,Customer reached,593,Customer Protection,High,Standard,False,0.82,5.0
CALL-000246,AU-CUST00427,TXN-2024-007767,2025-03-26,11:33:45,Outbound,Voicemail left,673,Transaction Risk,Medium,Standard,False,0.72,2.8
CALL-000073,AU-CUST00085,TXN-2024-002307,2025-04-26,19:22:23,Outbound,Voicemail left,453,Customer Protection,Medium,Vulnerable,False,0.76,3.2
CALL-000266,AU-CUST00788,TXN-2024-008282,2025-02-17,02:04:55,Inbound,Customer reached,1276,Transaction Risk,High,Vulnerable,False,0.77,3.5
CALL-000180,AU-CUST00521,TXN-2024-005996,2025-08-27,04:14:18,Outbound,Customer reached,1077,Customer Protection,Medium,Vulnerable,False,0.86,3.4
CALL-000087,AU-CUST00666,TXN-2024-002822,2025-07-25,16:33:44,Outbound,Customer reached,780,Fraud Ops,High,Standard,True,0.88,4.8
CALL-000060,AU-CUST00337,TXN-2024-002114,2025-04-21,12:21:40,Outbound,Customer reached,1723,Customer Protection,High,Standard,True,0.8,1.3
CALL-000383,AU-CUST00554,TXN-2024-011824,2025-08-11,03:09:32,Outbound,Customer reached,1205,Customer Protection,High,Vulnerable,False,0.86,4.1
CALL-000277,AU-CUST00528,TXN-2024-008650,2025-06-19,21:49:57,Outbound,Customer reached,608,Fraud Ops,High,Vulnerable,False,0.92,1.8
CALL-000018,AU-CUST00479,TXN-2024-000531,2024-12-30,04:31:25,Outbound,Voicemail left,1967,Transaction Risk,Medium,Vulnerable,False,0.84,0.9
CALL-000016,AU-CUST00796,TXN-2024-000476,2025-09-14,11:51:00,Outbound,Customer reached,1266,Transaction Risk,High,Vulnerable,True,0.83,0.7
CALL-000104,AU-CUST00644,TXN-2024-003529,2025-07-09,02:23:44,Outbound,Customer reached,1335,Fraud Ops,High,Vulnerable,True,0.9,2.6
CALL-000015,AU-CUST00980,TXN-2024-000476,2025-04-30,13:05:22,Inbound,Customer reached,729,Customer Protection,Medium,Standard,False,0.91,5.6
CALL-000193,AU-CUST00427,TXN-2024-006344,2025-03-01,08:10:04,Inbound,No Response,1971,Customer Protection,High,Standard,False,0.78,1.6
CALL-000074,AU-CUST00170,TXN-2024-002311,2025-08-22,08:23:51,Outbound,No Response,2026,Transaction Risk,Medium,Vulnerable,True,0.73,2.8
CALL-000316,AU-CUST00646,TXN-2024-009528,2025-07-05,21:00:51,Outbound,Customer reached,543,Customer Protection,High,Standard,False,0.92,2.2
CALL-000225,AU-CUST00701,TXN-2024-007272,2025-09-22,09:18:04,Inbound,No Response,2154,Transaction Risk,High,Standard,False,0.84,3.3
CALL-000130,AU-CUST00899,TXN-2024-003912,2025-07-14,21:25:43,Inbound,Customer reached,318,Transaction Risk,Medium,Standard,False,0.85,3.8
CALL-000099,AU-CUST00372,TXN-2024-003288,2025-02-17,02:23:44,Outbound,Customer reached,300,Transaction Risk,High,Vulnerable,False,0.93,5.3
CALL-000170,AU-CUST00105,TXN-2024-005828,2024-11-23,13:01:54,Inbound,Voicemail left,2153,Customer Protection,Medium,Vulnerable,False,0.79,1.8
CALL-000044,AU-CUST00633,TXN-2024-001508,2025-03-22,05:23:26,Outbound,No Response,766,Customer Protection,Medium,Vulnerable,False,0.82,1.9
CALL-000278,AU-CUST00848,TXN-2024-008514,2025-08-05,00:32:39,Outbound,Customer reached,204,Customer Protection,Medium,Vulnerable,False,0.84,1.5
CALL-000174,AU-CUST00450,TXN-2024-005949,2024-11-26,13:04:00,Outbound,Customer reached,1357,Transaction Risk,High,Vulnerable,True,0.81,0.9
CALL-000036,AU-CUST00276,TXN-2024-001091,2025-08-18,11:30:23,Outbound,Customer reached,1350,Transaction Risk,Medium,Standard,False,0.84,1.0
CALL-000088,AU-CUST00537,TXN-2024-002815,2025-06-09,20:29:28,Outbound,Voicemail left,1743,Customer Protection,Medium,Standard,False,0.9,3.2
CALL-000377,AU-CUST00553,TXN-2024-011610,2025-08-17,21:36:27,Inbound,No Response,760,Transaction Risk,High,Vulnerable,False,0.79,2.3
CALL-000271,AU-CUST00167,TXN-2024-008319,2024-12-22,09:56:00,Inbound,Voicemail left,1852,Fraud Ops,High,Standard,False,0.73,2.4
CALL-000034,AU-CUST00381,TXN-2024-001091,2025-06-30,00:10:56,Inbound,Voicemail left,1964,Customer Protection,High,Standard,False,0.74,1.5
CALL-000010,AU-CUST00395,TXN-2024-000373,2025-05-03,06:47:21,Inbound,Customer reached,2132,Customer Protection,High,Vulnerable,False,0.7,1.4
CALL-000122,AU-CUST00856,TXN-2024-003764,2025-05-26,03:05:53,Outbound,Customer reached,1119,Customer Protection,High,Standard,True,0.86,2.1
CALL-000325,AU-CUST00848,TXN-2024-009925,2025-08-19,21:35:19,Outbound,Customer reached,1628,Transaction Risk,Medium,Vulnerable,False,0.88,5.7
CALL-000354,AU-CUST00118,TXN-2024-010690,2025-04-12,22:05:19,Outbound,Customer reached,534,Fraud Ops,Medium,Vulnerable,False,0.85,0.8
CALL-000075,AU-CUST00426,TXN-2024-002487,2024-11-27,20:27:07,Inbound,No Response,1669,Transaction Risk,Medium,Standard,False,0.87,2.6
CALL-000163,AU-CUST00976,TXN-2024-005573,2024-12-31,01:43:16,Outbound,Customer reached,802,Customer Protection,High,Vulnerable,False,0.83,1.0
CALL-000333,AU-CUST00585,TXN-2024-010134,2024-09-25,08:37:22,Inbound,No Response,1648,Fraud Ops,Medium,Vulnerable,False,0.73,4.2
CALL-000339,AU-CUST00400,TXN-2024-010253,2025-03-07,17:31:10,Outbound,No Response,2128,Customer Protection,High,Vulnerable,False,0.71,4.8
CALL-000383,AU-CUST00892,TXN-2024-011976,2024-10-19,15:30:05,Inbound,No Response,1205,Fraud Ops,Medium,Vulnerable,False,0.71,5.2
CALL-000287,AU-CUST00086,TXN-2024-008814,2025-02-24,17:13:03,Outbound,Customer reached,2060,Customer Protection,High,Vulnerable,False,0.73,0.7
CALL-000134,AU-CUST00262,TXN-2024-004047,2025-08-21,14:36:38,Inbound,Voicemail left,421,Transaction Risk,Medium,Vulnerable,False,0.76,2.6
CALL-000119,AU-CUST00284,TXN-2024-003876,2025-09-29,14:08:26,Inbound,Customer reached,1633,Fraud Ops,High,Standard,False,0.76,4.0
CALL-000354,AU-CUST00262,TXN-2024-010802,2025-08-29,03:04:29,Outbound,Customer reached,714,Customer Protection,Medium,Vulnerable,False,0.87,4.9
CALL-000087,AU-CUST00999,TXN-2024-002815,2025-06-14,21:04:08,Inbound,Customer reached,902,Customer Protection,High,Vulnerable,True,0.74,5.2
CALL-000051,AU-CUST00720,TXN-2024-001599,2024-09-13,03:49:04,Inbound,Customer reached,189,Transaction Risk,High,Vulnerable,False,0.87,2.7
CALL-000240,AU-CUST00386,TXN-2024-007692,2025-07-22,11:33:45,Outbound,Customer reached,756,Customer Protection,Medium,Vulnerable,False,0.7,4.3
CALL-000235,AU-CUST00271,TXN-2024-007767,2025-07-02,23:24:48,Outbound,Voicemail left,1135,Customer Protection,Medium,Vulnerable,False,0.73,3.3
CALL-000173,AU-CUST00847,TXN-2024-005841,2025-08-21,16:04:31,Outbound,No Response,425,Customer Protection,High,Vulnerable,False,0.93,2.8
CALL-000280,AU-CUST00051,TXN-2024-008523,2025-02-18,00:00:45,Outbound,Customer reached,497,Fraud Ops,High,Vulnerable,False,0.79,4.4
CALL-000041,AU-CUST00398,TXN-2024-001341,2025-06-08,10:37:44,Outbound,No Response,2006,Customer Protection,High,Vulnerable,False,0.81,3.8
CALL-000193,AU-CUST00397,TXN-2024-006338,2025-01-19,03:47:00,Outbound,Customer reached,838,Transaction Risk,Medium,Vulnerable,False,0.76,3.3
CALL-000195,AU-CUST00427,TXN-2024-006344,2024-11-23,20:06:23,Inbound,Customer reached,621,Transaction Risk,High,Vulnerable,False,0.92,5.3
CALL-000077,AU-CUST00986,TXN-2024-002479,2025-08-26,23:19:20,Inbound,Customer reached,1027,Customer Protection,High,Vulnerable,False,0.88,2.8
CALL-000373,AU-CUST00701,TXN-2024-011457,2025-07-19,14:05:49,Outbound,No Response,497,Customer Protection,Medium,Vulnerable,False,0.85,1.6
CALL-000265,AU-CUST00528,TXN-2024-008258,2025-03-25,01:00:51,Outbound,No Response,243,Transaction Risk,High,Vulnerable,False,0.75,5.8
