transaction_id,customer_id,source_account_id,destination_account_id,amount,currency,transaction_type,transaction_date,transaction_time,payee_payer_name,description,payment_channel,device_id,device_model,ip_address,ip_address_country,known_device,status,is_flagged,flag_reason,is_fraud,fraud_type,risk_score,location_risk,amount_risk,velocity_risk,ctr_flag,sar_flag
TXN-2024-001064,AU-CUST00233,ACC00001052,ACC00000179,29.76,AUD,Payment,2024-09-07,11:30:41,Payee-000273,Bill payment,Mobile Banking,DEV-UST00403,Unknown Device,203.123.59.231,AU,True,Completed,False,,True,LEGITIMATE,29,Low,Low,Low,False,False
TXN-2024-005564,AU-CUST00706,ACC00000128,ACC00000166,645.89,AUD,Payment,2024-08-13,15:04:20,Payee-000985,Crypto purchase,Card Payment,DEV-UST00098,Samsung Galaxy S23,203.162.104.92,AU,False,Completed,False,,True,LEGITIMATE,68,Low,Low,Low,False,False
TXN-2024-010378,AU-CUST00548,ACC00000779,ACC00001060,167.74,AUD,Payment,2024-08-07,17:03:27,Payee-000827,Online purchase,Online Banking,DEV-UST00369,Samsung Galaxy S23,203.224.123.83,AU,True,Completed,False,,False,LEGITIMATE,21,Low,Low,Low,False,False
TXN-2024-009777,AU-CUST00934,ACC00000625,ACC00000673,6.16,AUD,Payment,2024-03-27,22:41:01,Payee-000408,Restaurant,Online Banking,DEV-UST00808,iPhone 14,203.136.156.24,AU,True,Completed,False,,False,LEGITIMATE,10,Low,Low,Low,False,False
TXN-2024-009459,AU-CUST00033,ACC00000810,ACC00000127,958.02,AUD,Payment,2024-06-12,05:02:03,Payee-000924,Transfer to savings,Mobile Banking,DEV-UST00109,Google Pixel 7,203.117.25.79,AU,True,Completed,False,,False,LEGITIMATE,33,Low,Low,Low,False,False
TXN-2024-011686,AU-CUST00557,ACC00000179,ACC00000496,377.5,AUD,Payment,2025-02-28,09:41:53,Payee-000141,Insurance,Mobile Banking,DEV-UST00443,iPhone 13,203.182.187.240,AU,True,Completed,False,,False,LEGITIMATE,55,Low,Low,Low,False,False
TXN-2024-002703,AU-CUST00398,ACC00000930,ACC00000225,80.86,AUD,Payment,2025-07-07,20:38:42,Payee-000689,Online purchase,ATM,DEV-UST00993,Samsung Galaxy S23,203.130.247.252,AU,True,Completed,False,,False,LEGITIMATE,9,Low,Low,Low,False,False
TXN-2024-003138,AU-CUST00326,ACC00001111,ACC00000255,8.13,AUD,Payment,2025-08-08,02:39:12,Payee-001069,Restaurant,Card Payment,DEV-UST00396,iPhone 13,203.250.239.171,AU,True,Completed,False,,False,LEGITIMATE,18,Low,Low,Low,False,False
TXN-2024-004643,AU-CUST00973,ACC00000932,ACC00000286,519.92,AUD,Payment,2025-05-18,19:52:45,Payee-000889,Restaurant,Mobile Banking,DEV-UST00369,Samsung Galaxy S23,203.54.82.215,AU,False,Completed,False,,False,LEGITIMATE,14,Low,Low,Low,False,False
TXN-2024-006601,AU-CUST00297,ACC00000549,ACC00000300,13.1,AUD,Payment,2025-01-11,09:02:24,Payee-000975,Rent payment,Mobile Banking,DEV-UST00339,Samsung Galaxy S23,203.207.17.119,AU,True,Completed,False,,False,LEGITIMATE,6,Low,Medium,Low,False,False
TXN-2024-003694,AU-CUST00446,ACC00000458,ACC00000094,241.21,AUD,Transfer,2025-04-23,06:41:57,Payee-000529,Restaurant,Branch,DEV-UST00022,Samsung Galaxy S23,203.35.153.218,AU,True,Completed,False,,False,LEGITIMATE,24,Low,Low,Low,False,False
TXN-2024-003680,AU-CUST00559,ACC00000660,ACC00000695,11.32,AUD,Payment,2025-07-19,12:21:34,Payee-000679,Fuel,Mobile Banking,DEV-UST00179,Samsung Galaxy S23,203.81.148.150,AU,True,Completed,False,,False,LEGITIMATE,8,Low,Low,Low,True,False
TXN-2024-006635,AU-CUST00266,ACC00000779,ACC00000433,603.18,AUD,Payment,2024-07-06,13:57:25,Payee-000763,Personal gift,Online Banking,DEV-UST00794,Samsung Galaxy S23,203.135.63.161,AU,True,Completed,False,,False,LEGITIMATE,38,Low,Medium,Low,False,False
TXN-2024-006945,AU-CUST00044,ACC00000060,ACC00001180,5.22,AUD,Payment,2025-04-07,15:21:44,Payee-000318,Transfer to savings,Mobile Banking,DEV-UST00821,iPhone 14,203.55.185.98,AU,True,Completed,False,,False,LEGITIMATE,37,Low,Low,Low,False,False
TXN-2024-001578,AU-CUST00686,ACC00000475,ACC00000341,411.8,AUD,Payment,2025-08-26,00:47:55,Payee-001085,Salary payment,Branch,DEV-UST00663,iPhone 13,203.217.119.249,AU,True,Completed,False,,False,LEGITIMATE,29,Low,Low,Low,False,False
TXN-2024-004894,AU-CUST00818,ACC00000912,ACC00001046,806.19,AUD,Payment,2025-07-01,11:30:03,Payee-000158,Utilities,Mobile Banking,DEV-UST00982,Samsung Galaxy S23,203.109.116.204,AU,True,Blocked,False,,False,LEGITIMATE,27,Low,Low,Low,False,False
TXN-2024-007740,AU-CUST00802,ACC00000323,ACC00001065,213.31,AUD,Payment,2025-08-04,21:25:49,Payee-000096,Bill payment,Mobile Banking,DEV-UST00793,iPhone 14,203.47.188.46,AU,True,Completed,False,,False,LEGITIMATE,15,Low,Low,Low,False,False
TXN-2024-003276,AU-CUST00212,ACC00000356,ACC00000779,5.67,AUD,Payment,2025-04-14,05:23:55,Payee-000739,Rent payment,ATM,DEV-UST00612,Samsung Galaxy S23,203.14.48.218,AU,True,Completed,False,,False,LEGITIMATE,7,Low,Low,Low,False,False
TXN-2024-009060,AU-CUST00530,ACC00000313,ACC00000786,84.9,AUD,Payment,2025-07-11,04:50:42,Payee-001265,Insurance,Card Payment,DEV-UST00846,iPhone 13,203.93.98.158,AU,True,Completed,False,,False,LEGITIMATE,13,Low,Low,Low,False,False
TXN-2024-007724,AU-CUST00227,ACC00000244,ACC00000723,8.94,AUD,Payment,2025-07-30,21:03:37,Payee-000197,Grocery shopping,ATM,DEV-UST00320,iPhone 14,203.72.241.92,AU,True,Completed,False,,False,LEGITIMATE,10,Low,Low,Low,False,False
TXN-2024-009801,AU-CUST00072,ACC00000011,ACC00001120,7.49,AUD,Payment,2024-12-08,02:56:48,Payee-000471,Insurance,Mobile Banking,DEV-UST00859,iPhone 13,203.253.55.118,AU,True,Completed,False,,False,LEGITIMATE,15,Low,Low,Low,False,False
TXN-2024-003042,AU-CUST00425,ACC00000251,ACC00000616,424.18,AUD,Payment,2024-12-27,00:21:32,Payee-001264,Fuel,Mobile Banking,DEV-UST00153,Unknown Android,203.50.91.93,AU,True,Completed,True,,False,LEGITIMATE,38,Low,Low,Low,False,False
TXN-2024-006085,AU-CUST00078,ACC00000473,ACC00000692,18.24,AUD,Payment,2025-08-10,21:32:18,Payee-001205,Grocery shopping,Mobile Banking,DEV-UST00059,iPhone 14,203.83.144.242,AU,True,Completed,False,,True,LEGITIMATE,28,Low,Low,Low,False,False
TXN-2024-001967,AU-CUST00169,ACC00000905,ACC00000529,315.75,AUD,Payment,2025-04-20,17:04:45,Payee-000293,Insurance,Branch,DEV-UST00637,Samsung Galaxy S23,203.162.111.244,AU,True,Completed,False,,False,LEGITIMATE,21,Low,Low,Medium,False,False
TXN-2024-010123,AU-CUST00739,ACC00000073,ACC00001176,62.79,AUD,Payment,2025-04-03,01:26:07,Payee-001176,Bill payment,Online Banking,DEV-UST00708,Samsung Galaxy S23,203.221.225.229,AU,True,Completed,False,,False,LEGITIMATE,38,Low,Low,Low,False,False
TXN-2024-005111,AU-CUST00314,ACC00000684,ACC00000199,46.78,AUD,Payment,2024-12-13,19:14:23,Payee-001240,Transfer to savings,Online Banking,DEV-UST00697,iPhone 13,203.124.138.233,AU,True,Completed,False,,False,LEGITIMATE,30,Low,Low,Low,False,False
TXN-2024-002018,AU-CUST00728,ACC00000620,ACC00001112,22.9,AUD,Payment,2024-10-25,13:02:15,Payee-000455,Salary payment,Mobile Banking,DEV-UST00066,Samsung Galaxy S23,203.14.131.128,AU,True,Completed,False,,False,LEGITIMATE,9,Low,Low,Low,False,False
TXN-2024-005306,AU-CUST00880,ACC00000135,ACC00000408,91.17,AUD,Payment,2025-09-25,16:09:42,Payee-000408,Online purchase,Mobile Banking,DEV-UST00222,Samsung Galaxy S23,203.30.60.157,AU,True,Completed,False,,True,LEGITIMATE,26,Low,Low,Low,False,False
TXN-2024-010205,AU-CUST00448,ACC00000199,ACC00001186,132.62,AUD,Payment,2025-09-09,07:49:55,Payee-000356,Insurance,Mobile Banking,DEV-UST00555,iPhone 14,203.133.72.164,AU,True,Completed,False,App Investment Scam pattern detected,False,LEGITIMATE,28,Low,Low,Low,False,False
TXN-2024-001438,AU-CUST00863,ACC00000286,ACC00001111,1128.89,AUD,Payment,2025-09-24,08:52:08,Payee-000678,Salary payment,Branch,DEV-UST00234,Samsung Galaxy S23,203.4.207.51,AU,True,Completed,False,,True,LEGITIMATE,18,Low,High,Low,True,False
TXN-2024-005529,AU-CUST00436,ACC00000139,ACC00000192,23.98,AUD,Payment,2025-09-15,04:51:12,Payee-000617,Utilities,Online Banking,DEV-UST00903,Samsung Galaxy S23,203.45.220.43,AU,True,Completed,False,,False,APP_BANK_IMPERSONATION,52,Low,Low,Low,False,False
TXN-2024-009101,AU-CUST00291,ACC00000335,ACC00001189,85.4,AUD,Payment,2025-07-11,03:49:11,Payee-000663,Salary payment,Mobile Banking,DEV-UST00036,iPhone 13,203.169.135.233,AU,True,Completed,False,,False,LEGITIMATE,26,Low,Low,Low,False,False
TXN-2024-003024,AU-CUST00545,ACC00000782,ACC00000785,13.27,AUD,Payment,2025-09-13,06:23:50,Payee-000165,Grocery shopping,Online Banking,DEV-UST00778,iPhone 14,203.165.44.27,AU,True,Blocked,False,,False,LEGITIMATE,19,Low,Low,Low,False,False
TXN-2024-005202,AU-CUST00160,ACC00001178,ACC00000657,5.05,AUD,Payment,2025-03-02,07:16:00,Payee-000974,Insurance,Mobile Banking,DEV-UST00176,Samsung Galaxy S23,203.99.36.16,AU,True,Completed,False,,False,LEGITIMATE,14,Low,Low,Low,False,False
TXN-2024-010732,AU-CUST00333,ACC00001256,ACC00000320,1650.83,AUD,Payment,2025-09-22,20:56:37,Payee-000094,Bill payment,Branch,DEV-UST00396,iPhone 14,203.56.113.230,AU,True,Completed,True,,False,LEGITIMATE,43,Low,Low,Low,False,False
TXN-2024-007740,AU-CUST00980,ACC00000910,ACC00000257,415.64,AUD,Payment,2025-08-20,02:23:58,Payee-000583,Insurance,Card Payment,DEV-UST00414,iPhone 13,203.183.194.22,AU,True,Completed,False,,False,LEGITIMATE,11,Low,Low,Low,False,False
TXN-2024-001469,AU-CUST00646,ACC00000211,ACC00000061,210.12,AUD,Payment,2025-05-12,18:15:52,Payee-000536,Insurance,Mobile Banking,DEV-UST00896,Unknown iPhone,230.115.197.231,AU,True,Completed,False,,False,MULE_ACTIVITY,14,Low,Low,Low,False,False
TXN-2024-001320,AU-CUST00147,ACC00000513,ACC00001239,199.89,AUD,Payment,2025-09-09,02:37:59,Payee-001043,Utilities,ATM,DEV-UST00238,Samsung Galaxy S23,203.88.239.68,AU,True,Completed,False,App Investment Scam pattern detected,False,APP_INVESTMENT_SCAM,20,Low,Low,Low,False,False
TXN-2024-007931,AU-CUST00051,ACC00000419,ACC00000352,22.83,AUD,Payment,2024-08-27,07:32:31,Payee-000860,Insurance,ATM,DEV-UST00931,iPhone 13,203.189.25.187,RU,True,Blocked,True,,False,LEGITIMATE,18,Low,High,Low,False,False
TXN-2024-001940,AU-CUST00468,ACC00001100,ACC00001127,9.47,AUD,Payment,2024-06-12,21:01:01,Payee-000274,Insurance,Card Payment,DEV-UST00495,Samsung Galaxy S23,203.189.122.104,AU,True,Completed,False,,False,LEGITIMATE,10,Low,Low,Low,False,False
TXN-2024-007255,AU-CUST00231,ACC00000098,ACC00001159,97.91,AUD,Payment,2025-05-04,07:57:53,Payee-000034,Restaurant,Mobile Banking,DEV-UST01000,Samsung Galaxy S23,203.84.140.76,AU,True,Completed,False,,False,LEGITIMATE,33,Low,Low,Low,False,False
TXN-2024-001423,AU-CUST00398,ACC00000948,ACC00000371,7.7,AUD,Payment,2025-03-09,15:27:01,Payee-000286,Transfer to savings,Mobile Banking,DEV-UST00762,iPhone 14,203.143.116.32,AU,True,Completed,True,App Invoice Fraud pattern detected,False,LEGITIMATE,32,Low,Low,Low,False,False
TXN-2024-003992,AU-CUST00024,ACC00000986,ACC00000323,273.5,AUD,Payment,2025-09-11,22:33:46,Payee-000035,Rent payment,Mobile Banking,DEV-UST00185,Samsung Galaxy S23,203.132.80.6,AU,True,Completed,False,,False,LEGITIMATE,23,Low,Low,Low,False,False
TXN-2024-007999,AU-CUST00087,ACC00001146,ACC00000661,29.41,AUD,Payment,2025-01-17,11:54:00,Payee-000974,Bill payment,Online Banking,DEV-UST00637,Samsung Galaxy S23,203.95.101.62,MY,True,Completed,False,,False,LEGITIMATE,12,Low,Low,Low,False,False
TXN-2024-009569,AU-CUST00320,ACC00000257,ACC00000385,166.31,AUD,Payment,2025-05-17,08:51:33,Payee-000856,Utilities,Online Banking,DEV-UST00995,iPhone 14,203.198.120.26,AU,True,Completed,False,,False,LEGITIMATE,17,Low,Low,Low,False,True
TXN-2024-002302,AU-CUST00400,ACC00000360,ACC00000605,153.94,AUD,Payment,2025-01-31,09:27:30,Payee-000605,Online purchase,Online Banking,DEV-UST00609,iPhone 13,203.189.207.162,AU,True,Completed,False,,False,LEGITIMATE,26,Low,Low,Low,False,False
TXN-2024-000707,AU-CUST00865,ACC00001079,ACC00001202,20.7,AUD,Payment,2025-05-03,00:59:41,Payee-000596,Restaurant,Mobile Banking,DEV-UST00599,iPhone 13,203.187.168.1,AU,True,Completed,False,,False,APP_INVOICE_FRAUD,44,Low,Low,Low,False,False
TXN-2024-005906,AU-CUST00414,ACC00000330,ACC00001230,28.62,AUD,Payment,2025-03-22,04:54:19,Payee-000676,Restaurant,Mobile Banking,DEV-UST00007,Samsung Galaxy S23,203.247.228.159,AU,True,Completed,False,,True,LEGITIMATE,13,Low,Low,Low,False,False
TXN-2024-007284,AU-CUST00658,ACC00000708,ACC00000749,25.89,AUD,Payment,2025-01-03,06:27:52,Payee-000389,Bill payment,Online Banking,DEV-UST00464,iPhone 14,203.119.168.98,AU,True,Completed,False,,False,LEGITIMATE,18,Low,Low,Low,False,False
TXN-2024-000112,AU-CUST00004,ACC00000060,ACC00000976,372.63,AUD,Payment,2025-07-09,03:52:52,Payee-000635,Online purchase,ATM,DEV-UST00443,Samsung Galaxy S23,203.94.253.224,AU,True,Completed,False,,False,LEGITIMATE,17,Low,Medium,Low,False,False
TXN-2024-005152,AU-CUST00729,ACC00000703,ACC00000134,13.26,AUD,Payment,2025-04-29,07:46:54,Payee-000169,Trading deposit,Mobile Banking,DEV-UST00013,Samsung Galaxy S23,203.16.31.236,AU,True,Completed,False,,False,LEGITIMATE,35,Low,Low,Low,False,False
TXN-2024-000637,AU-CUST00500,ACC00000101,ACC00000432,5.14,AUD,Payment,2024-09-03,21:15:09,Payee-000164,Bill payment,ATM,DEV-UST00922,iPhone 14,203.156.192.114,AU,True,Completed,False,,False,LEGITIMATE,10,Low,Low,Low,False,False
TXN-2024-001445,AU-CUST00677,ACC00000362,ACC00000062,22.06,AUD,Payment,2024-06-25,19:01:48,Payee-000062,Insurance,Card Payment,DEV-UST00245,iPhone 13,203.4.228.65,AU,True,Completed,False,,False,LEGITIMATE,9,Low,Low,Low,False,False
TXN-2024-005556,AU-CUST00686,ACC00000763,ACC00000112,56.67,AUD,Payment,2025-09-02,20:29:14,Payee-000874,Bill payment,Mobile Banking,DEV-UST00799,Samsung Galaxy S23,203.25.118.22,AU,True,Completed,False,,False,LEGITIMATE,12,Low,Low,Low,False,False
TXN-2024-006845,AU-CUST00513,ACC00000454,ACC00000371,283.62,AUD,Payment,2025-06-09,19:39:32,Payee-000781,Bill payment,Online Banking,DEV-UST00694,iPhone 13,203.127.59.128,AU,True,Completed,False,,False,LEGITIMATE,17,Low,Low,Low,False,False
TXN-2024-002079,AU-CUST00550,ACC00000698,ACC00001211,65.9,AUD,Payment,2025-04-06,10:32:39,Payee-000153,Transfer to savings,Card Payment,DEV-UST00250,iPhone 14,203.79.10.101,AU,True,Completed,False,,False,LEGITIMATE,15,Low,Low,Low,False,False
TXN-2024-002253,AU-CUST00202,ACC00001150,ACC00000928,109.71,AUD,Payment,2025-05-14,04:14:01,Payee-000660,Restaurant,Mobile Banking,DEV-UST00797,Samsung Galaxy S23,203.57.76.30,AU,True,Completed,False,,False,LEGITIMATE,29,Low,Low,Low,False,False
TXN-2024-005433,AU-CUST00611,ACC00000873,ACC00000592,369.63,AUD,Payment,2025-04-21,21:42:46,Payee-000793,Transfer to savings,Mobile Banking,DEV-UST00966,Samsung Galaxy S23,203.92.21.21,AU,True,Completed,False,,False,LEGITIMATE,20,High,Low,Low,False,False
TXN-2024-007295,AU-CUST00557,ACC00000352,ACC00000971,7.7,AUD,Payment,2025-06-22,23:50:47,Payee-000787,Online purchase,Mobile Banking,DEV-UST00593,iPhone 13,203.215.142.66,AU,True,Completed,False,,False,LEGITIMATE,20,Low,Low,Low,False,False
TXN-2024-007246,AU-CUST00896,ACC00000950,ACC00000699,20.77,AUD,Payment,2025-05-15,21:31:49,Payee-000666,Crypto purchase,ATM,DEV-UST00889,iPhone 14,222.88.202.122,AU,True,Completed,False,,False,LEGITIMATE,25,Low,Low,Low,False,False
TXN-2024-011964,AU-CUST00980,ACC00000238,ACC00000189,5.26,AUD,Payment,2024-09-10,23:02:15,Payee-000325,Online purchase,ATM,DEV-UST00262,iPhone 14,203.136.127.174,AU,True,Completed,False,,False,LEGITIMATE,9,Low,Low,Low,False,False
TXN-2024-004371,AU-CUST00448,ACC00001148,ACC00000148,873.96,AUD,Transfer,2025-01-29,03:08:08,Payee-000777,Insurance,Card Payment,DEV-UST00006,iPhone 14,203.229.136.222,AU,True,Completed,False,,False,LEGITIMATE,62,Low,Low,Low,False,False
TXN-2024-008638,AU-CUST00264,ACC00000671,ACC00001200,32.18,AUD,Payment,2025-08-11,14:10:54,Payee-000256,Insurance,Online Banking,DEV-UST00128,Samsung Galaxy S23,203.242.169.186,AU,True,Completed,False,,False,LEGITIMATE,19,Low,Low,Low,False,False
TXN-2024-011825,AU-CUST00792,ACC00000347,ACC00000375,113.89,AUD,Payment,2025-08-24,18:28:50,Payee-001213,Grocery shopping,Mobile Banking,DEV-UST00277,Samsung Galaxy S23,203.230.51.205,AU,True,Completed,False,App Romance Scam pattern detected,False,LEGITIMATE,27,Low,Low,Low,False,False
TXN-2024-011358,AU-CUST00839,ACC00000678,ACC00000060,805.4,AUD,Transfer,2025-04-11,18:03:24,Payee-001044,Travel money,Mobile Banking,DEV-UST00850,iPhone 13,203.82.60.175,AU,True,Completed,False,,False,LEGITIMATE,66,Low,High,Low,True,False
TXN-2024-010116,AU-CUST00033,ACC00000373,ACC00000284,65.18,AUD,Payment,2025-05-22,23:39:10,Payee-000322,Fuel,Mobile Banking,DEV-UST00982,Samsung Galaxy S23,203.164.14.91,AU,True,Completed,False,,False,LEGITIMATE,10,Low,Low,Low,False,False
TXN-2024-011556,AU-CUST00182,ACC00000818,ACC00001050,75.73,AUD,Transfer,2025-03-06,22:45:19,Payee-000238,Insurance,Card Payment,DEV-UST00066,Samsung Galaxy S23,203.225.145.96,AU,True,Completed,False,App Investment Scam pattern detected,False,LEGITIMATE,33,Low,Low,Low,False,False
TXN-2024-001949,AU-CUST00450,ACC00000187,ACC00000075,350.99,AUD,Payment,2025-01-31,13:24:35,Payee-000008,Rent payment,Mobile Banking,DEV-UST00329,Samsung Galaxy S23,203.214.239.91,AU,True,Completed,False,,False,LEGITIMATE,33,Low,Low,Low,False,False
TXN-2024-010136,AU-CUST00919,ACC00000765,ACC00000789,14.83,AUD,Payment,2024-08-21,14:36:41,Payee-001098,Salary payment,Mobile Banking,DEV-UST00053,Samsung Galaxy S23,251.239.220.241,AU,True,Completed,False,,False,LEGITIMATE,18,Low,Low,Low,False,False
TXN-2024-002253,AU-CUST00640,ACC00000162,ACC00000267,119.98,AUD,Payment,2025-06-08,21:45:20,Payee-000454,Transfer to savings,Mobile Banking,DEV-UST00798,iPhone 14,203.63.144.238,AU,True,Completed,False,,False,LEGITIMATE,20,Low,Low,Low,True,False
TXN-2024-006922,AU-CUST00031,ACC00000398,ACC00001045,56.04,AUD,Payment,2024-11-26,19:35:57,Payee-000351,Bill payment,Online Banking,DEV-UST00220,Samsung Galaxy S23,203.174.88.192,AU,True,Completed,False,,True,LEGITIMATE,10,Low,Low,Low,False,False
TXN-2024-010068,AU-CUST00396,ACC00000472,ACC00000843,295.89,AUD,Payment,2025-05-09,09:55:18,Payee-000112,Restaurant,Mobile Banking,DEV-UST00788,iPhone 13,203.188.94.110,AU,True,Completed,False,,False,LEGITIMATE,38,Low,Low,Low,False,False
TXN-2024-008999,AU-CUST00312,ACC00000905,ACC00000167,268.15,AUD,Payment,2024-09-18,05:32:55,Payee-001038,Transfer to savings,Online Banking,DEV-UST00941,iPhone 14,203.94.157.47,AU,True,Completed,False,,False,LEGITIMATE,19,Low,Low,Low,False,False
TXN-2024-004451,AU-CUST00917,ACC00000602,ACC00000642,106.41,AUD,Payment,2025-08-18,22:13:31,Payee-000910,Salary payment,Mobile Banking,DEV-UST00592,Samsung Galaxy S23,203.107.219.137,AU,True,Completed,False,,False,LEGITIMATE,13,Low,Low,Low,False,False
TXN-2024-009470,AU-CUST00169,ACC00001196,ACC00000237,190.9,AUD,Payment,2025-09-03,03:23:12,Payee-000995,Bill payment,Online Banking,DEV-UST00100,Samsung Galaxy S23,203.109.6.56,AU,True,Completed,False,,False,LEGITIMATE,20,Low,Low,Low,False,False
TXN-2024-006995,AU-CUST00368,ACC00000437,ACC00000376,187.57,AUD,Payment,2025-08-06,08:48:44,Payee-000786,Restaurant,Online Banking,DEV-UST00312,iPhone 14,203.145.235.220,AU,True,Completed,False,,False,LEGITIMATE,23,Low,Low,Low,False,False
TXN-2024-005006,AU-CUST00346,ACC00000879,ACC00001186,287.0,AUD,Payment,2025-06-03,19:33:04,Payee-000056,Salary payment,Mobile Banking,DEV-UST00914,iPhone 13,203.48.85.159,AU,True,Completed,False,,False,LEGITIMATE,15,Low,Low,Low,False,False
TXN-2024-000477,AU-CUST00527,ACC00000931,ACC00000550,803.44,AUD,Payment,2024-08-02,02:28:21,Payee-000033,Investment opportunity,Online Banking,DEV-UST00638,Samsung Galaxy S23,203.166.24.30,AU,True,Completed,False,App Investment Scam pattern detected,False,LEGITIMATE,83,Low,Low,Low,False,False
TXN-2024-003234,AU-CUST00043,ACC00000067,ACC00001219,17.62,AUD,Payment,2025-04-20,14:27:01,Payee-000413,Online purchase,ATM,DEV-UST00580,Samsung Galaxy S23,203.3.68.70,AU,True,Completed,False,,False,LEGITIMATE,30,Low,Low,Low,False,False
TXN-2024-010780,AU-CUST00607,ACC00001042,ACC00000440,171.32,AUD,Payment,2025-07-19,18:04:46,Payee-000178,Grocery shopping,Mobile Banking,DEV-UST00904,Samsung Galaxy S23,203.82.162.37,AU,True,Completed,False,,False,LEGITIMATE,24,Low,Low,Low,False,True
