account_id,customer_id,is_mule_account,account_type,account_age_days,daily_limit,monthly_limit,in_degree,out_degree,total_degree,avg_incoming_amount,avg_outgoing_amount,transaction_velocity,risk_score,vulnerability_score,primary_country,is_new_customer,high_velocity,cross_border_activity,structuring_indicator
mule_000034,mule_cust_000034,True,personal_current,3,1941.79,18580.26,38,27,65,1230.03,1791.08,5.58,0.855,0.701,AU,True,False,True,True
mule_000035,mule_cust_000035,True,personal_current,3,1522.42,10109.37,16,18,34,3525.87,1665.26,19.05,0.71,0.725,NL,True,True,True,True
mule_000036,mule_cust_000036,True,personal_current,5,1135.21,13527.8,44,49,93,2180.56,1768.28,16.65,0.785,0.879,FR,True,True,True,True
mule_000037,mule_cust_000037,True,personal_current,4,1626.31,16318.14,39,31,70,2764.77,2310.04,10.84,0.774,0.63,UK,True,True,False,True
mule_000038,mule_cust_000038,True,personal_current,45,1770.71,10323.58,37,28,65,3448.5,2248.97,12.4,0.721,0.628,AU,False,True,True,True
mule_000039,mule_cust_000039,True,personal_current,5,819.09,19192.92,25,53,78,637.79,2300.73,5.86,0.837,0.732,IT,True,False,True,True
mule_000040,mule_cust_000040,True,personal_current,3,675.6,7144.88,19,58,77,4360.97,3797.39,11.39,0.756,0.719,IT,True,True,True,True
mule_000041,mule_cust_000041,True,personal_current,1,1269.99,8498.42,17,59,76,1979.08,3685.68,19.21,0.947,0.826,US,True,True,True,True
mule_000042,mule_cust_000042,True,personal_current,1,1665.72,13376.06,36,24,60,4550.5,633.71,12.39,0.703,0.741,UK,True,True,False,True
mule_000043,mule_cust_000043,True,personal_current,1,676.29,14738.15,10,17,27,3000.17,4335.45,10.62,0.771,0.861,UK,True,True,False,True
mule_000044,mule_cust_000044,True,personal_current,45,518.23,19548.18,30,30,60,2732.97,4469.4,6.11,0.838,0.891,CA,False,False,True,True
mule_000045,mule_cust_000045,True,personal_current,7,1543.62,11818.12,12,30,42,3738.08,4131.36,19.38,0.714,0.718,UK,True,True,False,True
mule_000046,mule_cust_000046,True,personal_current,3,754.52,14702.73,17,42,59,573.13,4388.62,19.79,0.875,0.761,US,True,True,True,True
mule_000047,mule_cust_000047,True,personal_current,14,1527.1,7439.25,44,20,64,4759.04,3306.88,14.2,0.805,0.88,IT,True,True,True,True
mule_000048,mule_cust_000048,True,personal_current,1,539.55,10646.95,10,32,42,4938.93,804.31,13.91,0.795,0.891,FR,True,True,True,True
mule_000049,mule_cust_000049,True,personal_current,14,1203.04,11222.29,10,35,45,470.6,3911.54,17.19,0.95,0.899,CA,True,True,True,True
mule_000050,mule_cust_000050,True,personal_current,10,1917.15,17744.71,26,35,61,2362.61,711.84,19.31,0.852,0.669,AU,True,True,True,True
mule_000051,mule_cust_000051,True,personal_current,7,1037.24,6703.36,35,48,83,2485.81,3766.47,9.62,0.904,0.89,UK,True,False,False,True
mule_000052,mule_cust_000052,True,personal_current,14,1384.93,12200.69,32,29,61,3966.41,2931.22,17.08,0.926,0.785,BE,True,True,True,True
mule_000053,mule_cust_000053,True,personal_current,7,1454.97,13322.23,43,52,95,2364.37,4110.55,9.47,0.831,0.809,FR,True,False,True,True
mule_000054,mule_cust_000054,True,personal_current,4,1763.14,16533.77,29,38,67,420.13,2850.5,10.21,0.752,0.774,US,True,True,True,True
mule_000055,mule_cust_000055,True,personal_current,5,1190.18,13771.49,20,30,50,3276.2,941.18,10.19,0.924,0.742,AU,True,True,True,True
mule_000056,mule_cust_000056,True,personal_current,2,788.43,5613.03,14,32,46,1537.23,920.0,6.33,0.73,0.738,UK,True,False,False,True
mule_000057,mule_cust_000057,True,personal_current,3,1255.13,15355.92,18,40,58,4037.17,2881.37,6.23,0.918,0.876,UK,True,False,False,True
mule_000058,mule_cust_000058,True,personal_current,2,1709.3,16223.9,24,36,60,1333.36,3455.81,12.97,0.88,0.619,UK,True,True,False,True
mule_000059,mule_cust_000059,True,personal_current,1,1530.75,17666.61,27,52,79,2756.56,1204.75,9.04,0.794,0.606,US,True,False,True,True
mule_000060,mule_cust_000060,True,personal_current,2,991.25,6796.43,26,27,53,3049.24,3104.1,16.84,0.825,0.626,CA,True,True,True,True
mule_000061,mule_cust_000061,True,personal_current,7,1618.16,11474.89,28,56,84,1562.12,1729.41,14.69,0.843,0.707,BE,True,True,True,True
mule_000062,mule_cust_000062,True,personal_current,7,855.84,6526.74,15,20,35,1380.6,848.96,7.8,0.771,0.652,IT,True,False,True,True
mule_000063,mule_cust_000063,True,personal_current,1,1286.77,11155.95,45,38,83,737.79,1880.67,19.54,0.916,0.845,UK,True,True,False,True
mule_000064,mule_cust_000064,True,personal_current,2,1502.96,18940.64,24,25,49,2943.74,1367.91,16.54,0.747,0.697,US,True,True,True,True
mule_000065,mule_cust_000065,True,personal_current,5,863.61,6722.55,35,28,63,1585.43,2678.39,7.32,0.82,0.76,UK,True,False,False,True
mule_000066,mule_cust_000066,True,personal_current,3,701.62,5950.62,11,27,38,3485.94,532.23,7.08,0.701,0.635,US,True,False,True,True
mule_000067,mule_cust_000067,True,personal_current,7,1691.43,6600.49,14,58,72,2160.89,4208.28,19.86,0.751,0.714,ES,True,True,True,True
mule_000068,mule_cust_000068,True,personal_current,10,572.14,16722.72,20,55,75,3802.41,3627.99,17.38,0.747,0.671,AU,True,True,True,True
mule_000069,mule_cust_000069,True,personal_current,30,974.29,13824.6,27,54,81,2369.35,3254.95,18.5,0.856,0.762,US,True,True,True,True
mule_000070,mule_cust_000070,True,personal_current,5,1033.04,10872.23,11,28,39,519.77,1146.26,13.14,0.808,0.7,DE,True,True,True,True
mule_000071,mule_cust_000071,True,personal_current,10,750.1,18179.44,42,44,86,4490.68,3580.4,7.28,0.778,0.675,DE,True,False,True,True
mule_000072,mule_cust_000072,True,personal_current,1,1354.83,16436.88,19,47,66,694.0,2483.69,10.68,0.814,0.781,CA,True,True,True,True
mule_000073,mule_cust_000073,True,personal_current,5,1229.54,11134.33,11,41,52,3277.51,3168.68,13.14,0.763,0.704,UK,True,True,False,True
mule_000074,mule_cust_000074,True,personal_current,30,1375.09,11012.77,35,57,92,936.09,2700.1,12.59,0.853,0.605,IT,True,True,True,True
mule_000075,mule_cust_000075,True,personal_current,30,1347.7,15449.76,46,22,68,3326.56,3504.92,10.62,0.717,0.623,UK,True,True,False,True
mule_000076,mule_cust_000076,True,personal_current,14,1866.03,6842.16,46,35,81,994.5,960.5,17.56,0.783,0.693,UK,True,True,False,True
mule_000077,mule_cust_000077,True,personal_current,7,1068.96,16163.74,19,40,59,1800.8,1882.03,13.06,0.93,0.704,US,True,True,True,True
mule_000078,mule_cust_000078,True,personal_current,10,1178.33,8369.07,33,39,72,2592.17,1972.33,18.72,0.791,0.774,AU,True,True,True,True
mule_000079,mule_cust_000079,True,personal_current,1,1495.31,7670.54,29,55,84,913.58,1953.61,6.28,0.949,0.751,CA,True,False,True,True
mule_000080,mule_cust_000080,True,personal_current,1,1624.94,8148.58,28,46,74,2447.51,2868.65,10.67,0.909,0.776,UK,True,True,False,True
mule_000081,mule_cust_000081,True,personal_current,10,1291.47,13016.84,39,52,91,3873.71,597.97,10.02,0.719,0.826,UK,True,True,False,True
mule_000082,mule_cust_000082,True,personal_current,21,1289.87,17011.25,37,46,83,3636.67,3016.32,5.41,0.755,0.669,AU,True,False,True,True
mule_000083,mule_cust_000083,True,personal_current,1,656.16,16998.74,12,47,59,2872.26,3285.54,17.08,0.947,0.781,FR,True,True,True,True
mule_000084,mule_cust_000084,True,personal_current,45,1916.61,7116.23,23,45,68,1755.15,528.12,14.5,0.884,0.854,UK,False,True,False,True
mule_000085,mule_cust_000085,True,personal_current,21,1464.39,15559.19,10,19,29,1840.72,1278.49,10.7,0.848,0.68,AU,True,True,True,True
mule_000086,mule_cust_000086,True,personal_current,4,1328.07,11541.9,44,36,80,3942.84,646.93,13.49,0.946,0.741,UK,True,True,False,True
mule_000087,mule_cust_000087,True,personal_current,4,1268.69,16125.3,11,59,70,2132.24,1098.4,14.68,0.805,0.64,IT,True,True,True,True
mule_000088,mule_cust_000088,True,personal_current,10,1524.78,17338.76,30,56,86,2967.28,1342.14,13.31,0.863,0.849,UK,True,True,False,True
mule_000089,mule_cust_000089,True,personal_current,1,705.33,18500.28,15,41,56,3067.58,2762.25,14.98,0.744,0.874,US,True,True,True,True
mule_000090,mule_cust_000090,True,personal_current,3,1278.38,5704.49,10,50,60,3900.73,446.89,17.56,0.809,0.875,DE,True,True,True,True
mule_000091,mule_cust_000091,True,personal_current,7,1923.96,10949.74,33,36,69,3716.35,1084.99,5.47,0.766,0.779,UK,True,False,False,True
mule_000092,mule_cust_000092,True,personal_current,5,1395.26,10013.66,35,16,51,711.67,476.85,15.92,0.824,0.807,US,True,True,True,True
mule_000093,mule_cust_000093,True,personal_current,2,1728.65,16991.24,39,52,91,3033.11,1720.24,6.37,0.929,0.641,NL,True,False,True,True
mule_000094,mule_cust_000094,True,personal_current,4,777.7,13128.51,33,33,66,3714.68,3658.54,14.88,0.873,0.855,UK,True,True,False,True
mule_000095,mule_cust_000095,True,personal_current,4,831.81,19815.02,35,46,81,3586.76,4174.83,7.71,0.842,0.875,UK,True,False,False,True
mule_000096,mule_cust_000096,True,personal_current,10,946.02,18865.94,32,43,75,2476.23,3899.89,17.67,0.78,0.849,UK,True,True,False,True
mule_000097,mule_cust_000097,True,personal_current,7,845.01,6808.5,43,17,60,3542.19,1628.46,15.87,0.716,0.695,CA,True,True,True,True
mule_000098,mule_cust_000098,True,personal_current,14,978.13,14388.37,25,59,84,3156.14,1163.37,5.37,0.918,0.606,IT,True,False,True,True
mule_000099,mule_cust_000099,True,personal_current,5,1908.6,16981.75,48,43,91,3882.5,1898.4,12.2,0.857,0.862,BE,True,True,True,True
mule_000100,mule_cust_000100,True,personal_current,10,1126.65,11320.36,14,15,29,1346.13,630.56,10.32,0.772,0.689,UK,True,True,False,True
mule_000101,mule_cust_000101,True,personal_current,1,526.81,19815.84,18,29,47,2044.77,3106.47,8.27,0.937,0.836,UK,True,False,False,True
mule_000102,mule_cust_000102,True,personal_current,4,1818.68,19170.98,20,27,47,4948.09,3383.58,5.97,0.8,0.851,UK,True,False,False,True
mule_000103,mule_cust_000103,True,personal_current,14,680.51,5704.18,35,55,90,1094.9,3541.19,10.25,0.714,0.891,IT,True,True,True,True
mule_000104,mule_cust_000104,True,personal_current,30,1992.36,7608.43,44,32,76,3540.9,819.45,17.24,0.756,0.667,CA,True,True,True,True
mule_000105,mule_cust_000105,True,personal_current,7,1370.13,6372.3,12,42,54,2488.05,343.04,17.78,0.709,0.699,ES,True,True,True,True
mule_000106,mule_cust_000106,True,personal_current,10,922.09,8789.74,47,22,69,3539.43,362.21,12.99,0.941,0.633,IT,True,True,True,True
mule_000107,mule_cust_000107,True,personal_current,90,592.28,18243.59,38,17,55,1869.48,3099.37,13.49,0.767,0.864,FR,False,True,True,True
mule_000108,mule_cust_000108,True,personal_current,7,1775.87,18009.41,22,57,79,1345.71,4195.89,6.59,0.875,0.657,IT,True,False,True,True
mule_000109,mule_cust_000109,True,personal_current,45,1198.21,18186.07,19,46,65,1808.57,3384.26,7.41,0.904,0.85,CA,False,False,True,True
mule_000110,mule_cust_000110,True,personal_current,1,930.56,14253.9,26,54,80,1447.06,2907.92,13.1,0.895,0.632,DE,True,True,True,True
mule_000111,mule_cust_000111,True,personal_current,5,1944.49,10128.08,24,44,68,3817.75,3581.31,7.61,0.893,0.884,UK,True,False,False,True
mule_000112,mule_cust_000112,True,personal_current,10,1562.86,12103.61,31,40,71,558.53,3858.0,19.85,0.869,0.734,AU,True,True,True,True
mule_000113,mule_cust_000113,True,personal_current,7,1075.42,5984.39,42,20,62,1984.8,3711.72,8.79,0.7,0.648,US,True,False,True,True
mule_000114,mule_cust_000114,True,personal_current,45,653.29,17813.15,24,43,67,3529.67,1110.35,6.24,0.87,0.796,UK,False,False,False,True
mule_000115,mule_cust_000115,True,personal_current,45,726.59,11485.02,30,30,60,4315.33,4345.66,16.4,0.811,0.694,US,False,True,True,True
mule_000116,mule_cust_000116,True,personal_current,10,1618.76,8005.39,34,38,72,1968.93,3909.96,12.1,0.942,0.656,IT,True,True,True,True
mule_000117,mule_cust_000117,True,personal_current,10,1656.38,17671.75,16,17,33,4024.63,1429.63,18.68,0.942,0.656,US,True,True,True,True
mule_000118,mule_cust_000118,True,personal_current,1,1397.49,14109.6,29,50,79,2880.38,1131.1,7.41,0.863,0.698,CA,True,False,True,True
mule_000119,mule_cust_000119,True,personal_current,4,1976.53,7243.71,30,32,62,3466.19,1870.62,19.62,0.88,0.797,DE,True,True,True,True
mule_000120,mule_cust_000120,True,personal_current,45,1861.73,15864.28,33,55,88,1361.82,4441.98,7.14,0.825,0.785,DE,False,False,True,True
mule_000121,mule_cust_000121,True,personal_current,5,514.66,9896.92,11,47,58,621.76,1675.23,5.5,0.72,0.719,UK,True,False,False,True
mule_000122,mule_cust_000122,True,personal_current,5,1534.2,17008.8,43,56,99,1003.92,604.87,14.55,0.877,0.609,ES,True,True,True,True
mule_000123,mule_cust_000123,True,personal_current,1,1311.94,15635.91,17,22,39,3627.62,3637.52,10.09,0.904,0.624,IT,True,True,True,True
mule_000124,mule_cust_000124,True,personal_current,5,1725.95,11784.77,12,55,67,987.2,2057.94,15.87,0.848,0.795,US,True,True,True,True
mule_000125,mule_cust_000125,True,personal_current,7,993.53,12052.74,17,43,60,3990.55,3015.38,12.47,0.839,0.816,UK,True,True,False,True
mule_000126,mule_cust_000126,True,personal_current,90,1962.19,14754.89,19,49,68,1258.69,1970.04,8.05,0.91,0.652,NL,False,False,True,True
mule_000127,mule_cust_000127,True,personal_current,4,1769.37,14431.47,37,58,95,3885.07,2346.08,13.15,0.828,0.776,UK,True,True,False,True
mule_000128,mule_cust_000128,True,personal_current,3,1409.28,13965.85,45,20,65,3344.04,4465.78,9.26,0.79,0.715,US,True,False,True,True
mule_000129,mule_cust_000129,True,personal_current,14,853.69,16640.0,45,44,89,1062.48,1183.31,19.57,0.745,0.856,US,True,True,True,True
mule_000130,mule_cust_000130,True,personal_current,2,1806.12,11679.58,48,39,87,3380.58,564.39,14.78,0.778,0.72,FR,True,True,True,True
mule_000131,mule_cust_000131,True,personal_current,1,1382.62,13980.71,45,59,104,1337.73,1170.83,18.26,0.811,0.699,US,True,True,True,True
mule_000132,mule_cust_000132,True,personal_current,7,718.63,11741.51,17,57,74,4753.2,1248.5,10.39,0.795,0.782,US,True,True,True,True
mule_000133,mule_cust_000133,True,personal_current,5,1672.69,15580.78,37,29,66,2879.07,2498.59,5.51,0.947,0.637,UK,True,False,False,True
mule_000134,mule_cust_000134,True,personal_current,1,1460.0,8370.52,46,19,65,695.88,2693.32,15.32,0.799,0.744,AU,True,True,True,True
mule_000135,mule_cust_000135,True,personal_current,1,984.7,19596.47,48,45,93,1420.28,2419.53,10.14,0.833,0.638,UK,True,True,False,True
mule_000136,mule_cust_000136,True,personal_current,1,1909.73,15993.48,17,35,52,650.72,3075.82,11.66,0.917,0.653,AU,True,True,True,True
mule_000137,mule_cust_000137,True,personal_current,14,1916.92,15248.72,27,31,58,4188.21,3911.05,16.53,0.728,0.839,ES,True,True,True,True
mule_000138,mule_cust_000138,True,personal_current,7,1911.31,17402.58,14,55,69,711.65,3011.63,19.99,0.712,0.893,US,True,True,True,True
mule_000139,mule_cust_000139,True,personal_current,21,1673.58,13505.24,20,18,38,3322.46,3478.58,18.89,0.81,0.87,IT,True,True,True,True
mule_000140,mule_cust_000140,True,personal_current,3,1803.35,10635.08,16,39,55,1776.23,2891.41,14.15,0.841,0.714,CA,True,True,True,True
mule_000141,mule_cust_000141,True,personal_current,7,1318.53,11666.29,47,40,87,3017.9,882.73,14.64,0.89,0.75,CA,True,True,True,True
mule_000142,mule_cust_000142,True,personal_current,45,1770.75,18713.55,38,40,78,722.81,798.11,12.9,0.762,0.743,US,False,True,True,True
mule_000143,mule_cust_000143,True,personal_current,5,1620.31,15732.36,30,37,67,2268.14,4050.71,6.07,0.939,0.796,US,True,False,True,True
mule_000144,mule_cust_000144,True,personal_current,2,1218.77,7918.37,23,18,41,1432.53,1389.2,9.61,0.901,0.762,US,True,False,True,True
mule_000145,mule_cust_000145,True,personal_current,7,1574.23,9089.36,13,40,53,785.05,938.0,15.22,0.745,0.758,DE,True,True,True,True
mule_000146,mule_cust_000146,True,personal_current,1,1350.97,8848.44,45,34,79,2521.02,3656.07,13.25,0.711,0.79,NL,True,True,True,True
mule_000147,mule_cust_000147,True,personal_current,7,1728.78,18263.1,18,40,58,1217.82,2807.77,11.17,0.91,0.87,US,True,True,True,True
mule_000148,mule_cust_000148,True,personal_current,2,1670.79,9122.09,28,50,78,2233.94,3053.84,6.43,0.856,0.736,CA,True,False,True,True
mule_000149,mule_cust_000149,True,personal_current,2,1605.31,17941.96,30,31,61,1056.54,1508.38,8.45,0.752,0.791,UK,True,False,False,True
mule_000150,mule_cust_000150,True,personal_current,7,587.68,7126.62,44,21,65,3536.69,1908.79,11.42,0.879,0.808,BE,True,True,True,True
mule_000151,mule_cust_000151,True,personal_current,1,656.16,15865.08,41,53,94,3908.59,1302.3,14.68,0.849,0.72,US,True,True,True,True
mule_000152,mule_cust_000152,True,personal_current,3,1425.73,11636.15,11,19,30,535.67,2934.73,9.07,0.848,0.804,UK,True,False,False,True
mule_000153,mule_cust_000153,True,personal_current,4,785.49,5785.08,11,52,63,2877.36,3328.33,11.98,0.715,0.769,NL,True,True,True,True
mule_000154,mule_cust_000154,True,personal_current,2,1535.01,8014.01,25,56,81,664.05,2109.11,16.34,0.787,0.799,FR,True,True,True,True
mule_000155,mule_cust_000155,True,personal_current,30,851.96,10989.74,49,19,68,3738.47,3493.41,8.65,0.868,0.628,UK,True,False,False,True
mule_000156,mule_cust_000156,True,personal_current,14,1797.03,14127.3,21,52,73,964.66,424.52,6.76,0.757,0.703,US,True,False,True,True
mule_000157,mule_cust_000157,True,personal_current,3,858.58,12645.86,12,37,49,4723.46,3949.01,7.43,0.897,0.772,CA,True,False,True,True
mule_000158,mule_cust_000158,True,personal_current,3,1251.73,10957.68,47,32,79,3214.16,3083.22,12.99,0.88,0.642,UK,True,True,False,True
mule_000159,mule_cust_000159,True,personal_current,14,983.79,5343.41,36,16,52,1273.35,4314.35,13.6,0.933,0.773,US,True,True,True,True
mule_000160,mule_cust_000160,True,personal_current,3,1409.56,7087.97,25,17,42,4773.43,3739.62,14.99,0.73,0.743,CA,True,True,True,True
mule_000161,mule_cust_000161,True,personal_current,2,619.95,16650.85,41,42,83,1696.72,2351.72,11.59,0.726,0.792,UK,True,True,False,True
mule_000162,mule_cust_000162,True,personal_current,7,1475.3,7280.37,14,33,47,1120.56,1071.14,12.27,0.889,0.786,UK,True,True,False,True
mule_000163,mule_cust_000163,True,personal_current,4,756.0,6119.45,37,21,58,3522.37,420.97,12.64,0.949,0.844,AU,True,True,True,True
mule_000164,mule_cust_000164,True,personal_current,3,1435.84,12905.62,48,51,99,4455.7,2106.56,7.92,0.792,0.724,FR,True,False,True,True
mule_000165,mule_cust_000165,True,personal_current,10,1653.96,5165.47,11,41,52,2209.19,3587.97,13.73,0.87,0.657,AU,True,True,True,True
mule_000166,mule_cust_000166,True,personal_current,3,1751.46,14439.48,27,51,78,4805.97,2272.17,6.65,0.837,0.736,FR,True,False,True,True
mule_000167,mule_cust_000167,True,personal_current,1,1232.36,7250.73,27,54,81,4091.29,2821.25,17.89,0.798,0.887,UK,True,True,False,True
mule_000168,mule_cust_000168,True,personal_current,1,1488.04,19142.47,11,43,54,1540.97,4196.89,8.8,0.895,0.848,US,True,False,True,True
mule_000169,mule_cust_000169,True,personal_current,3,1175.19,8404.47,26,37,63,2688.36,803.24,16.06,0.828,0.804,UK,True,True,False,True
mule_000170,mule_cust_000170,True,personal_current,1,1574.49,6081.27,33,49,82,258.12,4310.78,16.06,0.788,0.689,US,True,True,True,True
mule_000171,mule_cust_000171,True,personal_current,10,1492.06,7777.93,14,19,33,3369.45,3475.02,8.98,0.705,0.625,NL,True,False,True,True
mule_000172,mule_cust_000172,True,personal_current,3,1653.83,14369.95,11,29,40,1187.3,678.03,14.23,0.894,0.793,CA,True,True,True,True
mule_000173,mule_cust_000173,True,personal_current,1,1952.73,16980.71,21,41,62,4903.86,2768.18,13.74,0.887,0.844,AU,True,True,True,True
mule_000174,mule_cust_000174,True,personal_current,1,1007.4,18921.25,18,39,57,2004.77,2542.9,10.83,0.741,0.682,ES,True,True,True,True
mule_000175,mule_cust_000175,True,personal_current,7,1244.07,5190.72,30,49,79,3422.98,1528.61,18.19,0.765,0.763,AU,True,True,True,True
mule_000176,mule_cust_000176,True,personal_current,2,1967.6,16222.88,16,37,53,3349.58,921.82,13.18,0.946,0.881,UK,True,True,False,True
mule_000177,mule_cust_000177,True,personal_current,2,697.59,15889.7,36,45,81,2544.29,805.44,10.14,0.803,0.827,DE,True,True,True,True
mule_000178,mule_cust_000178,True,personal_current,7,658.9,7273.54,39,53,92,2970.43,3965.55,11.51,0.74,0.767,FR,True,True,True,True
mule_000179,mule_cust_000179,True,personal_current,10,1822.18,9168.53,44,46,90,4423.12,3010.39,9.66,0.886,0.845,AU,True,False,True,True
mule_000180,mule_cust_000180,True,personal_current,7,1062.89,13080.44,45,36,81,4270.63,3803.84,17.49,0.703,0.825,DE,True,True,True,True
mule_000181,mule_cust_000181,True,personal_current,7,1634.4,17629.56,15,33,48,4982.4,1752.15,11.73,0.881,0.866,CA,True,True,True,True
mule_000182,mule_cust_000182,True,personal_current,3,1118.93,15434.27,30,24,54,3174.03,1696.39,16.91,0.723,0.776,US,True,True,True,True
mule_000183,mule_cust_000183,True,personal_current,7,597.28,13699.76,13,38,51,3447.05,3651.7,9.05,0.906,0.749,UK,True,False,False,True
mule_000184,mule_cust_000184,True,personal_current,1,1001.36,16773.45,47,45,92,4160.63,2413.29,10.6,0.731,0.821,UK,True,True,False,True
mule_000185,mule_cust_000185,True,personal_current,3,593.81,17020.5,20,59,79,1032.7,2923.36,12.44,0.745,0.806,BE,True,True,True,True
mule_000186,mule_cust_000186,True,personal_current,10,1609.98,19254.69,14,24,38,1805.65,263.96,5.36,0.908,0.682,CA,True,False,True,True
mule_000187,mule_cust_000187,True,personal_current,3,1911.02,8889.45,35,19,54,4241.28,959.54,17.04,0.815,0.745,UK,True,True,False,True
mule_000188,mule_cust_000188,True,personal_current,1,1591.91,12446.92,10,38,48,3701.64,3479.98,7.38,0.853,0.641,DE,True,False,True,True
mule_000189,mule_cust_000189,True,personal_current,7,1934.92,6034.37,39,36,75,1456.19,1224.36,18.59,0.762,0.682,DE,True,True,True,True
